Vacía, Vacía ,(vigente para teléfonos fijos celulares localizadores servicios de llamada en espera y servicios de operadores),Estados Unidos de América. A través de las secciones 251 y 255 de la Communications Act obliga a los fabricantes de equipos de telecomunicaciones en asegurarse que sus productos y servicios sean accesibles y útiles para las personas con discapacidad,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
UFAS,Uniform Federal Accessibility Standards,(UFAS por sus siglas en inglés),Estados Unidos de América. A través de las secciones 251 y 255 de la Communications Act obliga a los fabricantes de equipos de telecomunicaciones en asegurarse que sus productos y servicios sean accesibles y útiles para las personas con discapacidad (vigente para teléfonos fijos celulares localizadores servicios de llamada en espera y servicios de operadores). Cuando el servicio no está disponible "de primera mano" se exige entonces que los productos y servicios sean compatibles con equipos auxiliares. También en la Hearing Aid Compatibility Act dispone que los fabricantes o importadores de teléfonos en el país tienen que considerar que los aparatos deben ser compatibles con auxiliares auditivos. Asimismo en la Uniform Federal Accessibility Standards,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(Word Wide Web Consortium),Venezuela. La Ley para las Personas con Discapacidad considera el derecho de accesibilidad en los servicios de telecomunicaciones de forma muy general al disponer como un derecho que los equipos de telecomunicaciones cuenten con adaptaciones así como a facilitar la accesibilidad de forma arquitectónica y de procedimientos por los entes públicos y privados. En tanto en la Gaceta Oficial de la República Bolivariana de Venezuela se emiten una serie de resoluciones bajo la materia de las telecomunicaciones entre las cuales se establece que los portales de los entes públicos deberán contar con elementos de accesibilidad bajo W3C,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(W3C),Por otra parte a nivel internacional se cuenta con un estándar de accesibilidad web desarrollado por la World Wide Web Consortium,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(Iniciativa Global para TIC incluyente),En tanto la G3ict,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
GAID,Alianza Global para el Desarrollo de las Tecnologías de la Información y Comunicación,(GAID por sus siglas en inglés),En tanto la G3ict (Iniciativa Global para TIC incluyente) considera pertinente adoptar el nivel AA ya que es un nivel intermedio y que no implica un gasto desproporcionado para su implementación y mantenimiento. Cabe mencionar que G3ict es un ente creado por la Alianza Global para el Desarrollo de las Tecnologías de la Información y Comunicación,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
INEGI,Instituto Nacional de Estadística y Geografía,(INEGI),CUARTO. SITUACIÓN ACTUAL EN MÉXICO. En nuestro país cifras de el Instituto Nacional de Estadística y Geografía,Regla 2,DOF_P_IFT_EXT_241116_36_Acc.docx
ENADID,AL EN MÉXICO. En nuestro país cifras de el Instituto Nacional de Estadística y Geografía INEGI obtenidas de la Encuesta Nacional de la Dinámica Demográfica 2014,(ENADID),CUARTO. SITUACIÓN ACTUAL EN MÉXICO. En nuestro país cifras de el Instituto Nacional de Estadística y Geografía (INEGI) obtenidas de la Encuesta Nacional de la Dinámica Demográfica 2014,Regla 2,DOF_P_IFT_EXT_241116_36_Acc.docx
Lineamientos de Accesibilidad,LINEAMIENTOS GENERALES DE ACCESIBILIDAD A SERVICIOS DE TELECOMUNICACIONES PARA LOS USUARIOS CON DISCAPACIDAD,(los “Lineamientos de Accesibilidad”),Así las cosas resulta conveniente señalar que el Instituto consideró aquellas sugerencias recomendaciones o propuestas que se estimaron procedentes en el texto de los “LINEAMIENTOS GENERALES DE ACCESIBILIDAD A SERVICIOS DE TELECOMUNICACIONES PARA LOS USUARIOS CON DISCAPACIDAD”,Regla 1,DOF_P_IFT_EXT_241116_36_Acc.docx
AIR,Análisis de Impacto Regulatorio,(“AIR”),Al respecto la Coordinación General de Política de el Usuario de el Instituto realizó el Análisis de Impacto Regulatorio,Regla 2,DOF_P_IFT_EXT_241116_36_Acc.docx
CGMR,Coordinación General de Mejora Regulatoria,(la “CGMR”),Al respecto la Coordinación General de Política de el Usuario de el Instituto realizó el Análisis de Impacto Regulatorio (“AIR”) correspondiente mismo que fue sometido formalmente a consideración de la Coordinación General de Mejora Regulatoria,Regla 1,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(s),IV.	Centro,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(WCAG),XII.	Pautas de Accesibilidad de Contenido de Internet,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(chats),XVII.	Sistemas de Atención: Mecanismos de comunicación implementados por los concesionarios y autorizados que les permiten atender las solicitudes quejas reclamaciones dudas trámites etc. de sus usuarios finales pudiendo ser éstos los Centros de Atención los números de atención telefónica y las herramientas de comunicación a través de las páginas o portales de Internet,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(World Wide Web Consortium),XX.	W3C,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(quince),Artículo 11. Los Concesionarios y Autorizados que presten el servicio de telefonía fija deberán contar con un catálogo de equipos terminales que contengan funcionalidades de Accesibilidad para Personas  con Discapacidad motriz visual y auditiva. Lo anterior con la finalidad de que dichos equipos terminales sean proporcionados a los Usuarios con Discapacidad que los soliciten a través de los Sistemas de Atención al público que tengan habilitados dentro de los 15,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(WCAG),I.	Contar con los elementos de Accesibilidad establecidos en los estándares internacionales más actualizados de la W3C específicamente las Pautas de Accesibilidad de Contenido de Internet,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(WCAG),Artículo 25. En relación con la fracción I de el artículo anterior los Concesionarios y Autorizados deberán atender a las modificaciones y actualizaciones que se realicen en las Pautas de Accesibilidad de Contenido de Internet,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(tres),En caso de que dichas Pautas presenten modificaciones y/o actualizaciones los Concesionarios y Autorizados deberán implementarlas en un plazo no mayor a 3,Regla 3,DOF_P_IFT_EXT_241116_36_Acc.docx
Vacía, Vacía ,(Primera Sección),,Regla 3,DOF_P_IFT_250117_12_Acc.docx
DOF,Diario Oficial de la Federación,(en lo sucesivo el “DOF”),I.	El 11 de junio de 2013 se publicó en el Diario Oficial de la Federación,Regla 1,DOF_P_IFT_250117_12_Acc.docx
Decreto Constitucional,Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o. 7o. 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de telecomunicaciones,(en lo sucesivo el "Decreto Constitucional"),I.	El 11 de junio de 2013 se publicó en el Diario Oficial de la Federación (en lo sucesivo el “DOF”) el "Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o. 7o. 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de telecomunicaciones",Regla 1,DOF_P_IFT_250117_12_Acc.docx
Instituto,Instituto Federal de Telecomunicaciones,(en lo sucesivo el "Instituto"),I.	El 11 de junio de 2013 se publicó en el Diario Oficial de la Federación (en lo sucesivo el “DOF”) el "Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o. 7o. 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de telecomunicaciones" (en lo sucesivo el "Decreto Constitucional") mediante el cual se creó el Instituto Federal de Telecomunicaciones,Regla 1,DOF_P_IFT_250117_12_Acc.docx
Estatuto Orgánico,Estatuto Orgánico de el Instituto Federal de Telecomunicaciones,(en lo sucesivo el "Estatuto Orgánico"),III.	El 4 de septiembre de 2014 se publicó en el DOF el Estatuto Orgánico de el Instituto Federal de Telecomunicaciones,Regla 1,DOF_P_IFT_250117_12_Acc.docx
LFTR,Ley Federal de Telecomunicaciones y Radiodifusión,(en lo sucesivo “LFTR”),IV.	El Pleno de el Instituto mediante el Acuerdo P/IFT/170316/104 emitido en su VIII Sesión Ordinaria de fecha de 17 de marzo de 2016 aprobó someter a consulta pública el “ANTEPROYECTO DE LINEAMIENTOS PARA LA ACREDITACIÓN DE PERITOS EN MATERIA DE TELECOMUNICACIONES Y DE RADIODIFUSIÓN” ello en cumplimiento con lo establecido en el artículo 51 de la Ley Federal de Telecomunicaciones y Radiodifusión,Regla 2,DOF_P_IFT_250117_12_Acc.docx
Lineamientos,Lineamientos para la acreditación de peritos en materia de telecomunicaciones y radiodifusión,(en lo sucesivo los “Lineamientos“),V.	El Pleno de el Instituto mediante Acuerdo P/IFT/250117/11 de enero de 2017 en la III Sesión Ordinaria de fecha 25 de enero de 2017 aprobó el “Acuerdo mediante el cual el Pleno de el Instituto Federal de Telecomunicaciones expide los Lineamientos para la acreditación de peritos en materia de telecomunicaciones y radiodifusión”,Regla 1,DOF_P_IFT_250117_12_Acc.docx
Constitución,Constitución Política de los Estados Unidos Mexicanos,(en lo sucesivo la “Constitución”),Primero.- Competencia de el Instituto. De conformidad con lo establecido en los artículos 28 párrafo décimo quinto de la Constitución Política de los Estados Unidos Mexicanos,Regla 1,DOF_P_IFT_250117_12_Acc.docx
Ley de Ingresos,Ley de Ingresos de la Federación para el Ejercicio Fiscal de 2017,(en lo sucesivo la “Ley de Ingresos”),Por su parte el artículo 10 párrafo primero de la Ley de Ingresos de la Federación para el Ejercicio Fiscal de 2017,Regla 1,DOF_P_IFT_250117_12_Acc.docx
Vacía, Vacía ,(R.- 444964),,Regla 3,DOF_P_IFT_250117_12_Acc.docx
Vacía, Vacía ,(Quinta Sección),,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(Quinta Sección),Miércoles 21 de diciembre de 2016	DIARIO OFICIAL,Regla 3,DOF_P_IFT_301116_681_Acc.docx
DOF,Diario Oficial de la Federación,(DOF),1.	El 11 de junio de 2013 se publicó en el Diario Oficial de la Federación,Regla 2,DOF_P_IFT_301116_681_Acc.docx
Decreto de Reforma Constitucional,Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o. 7o. 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de telecomunicaciones.,(Decreto de Reforma Constitucional),1.	El 11 de junio de 2013 se publicó en el Diario Oficial de la Federación (DOF) el “Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o. 7o. 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de telecomunicaciones.”,Regla 2,DOF_P_IFT_301116_681_Acc.docx
Instituto,Instituto Federal de Telecomunicaciones,(Instituto),1.	El 11 de junio de 2013 se publicó en el Diario Oficial de la Federación (DOF) el “Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o. 7o. 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de telecomunicaciones.” (Decreto de Reforma Constitucional) mediante el cual se creó al Instituto Federal de Telecomunicaciones,Regla 2,DOF_P_IFT_301116_681_Acc.docx
Lineamientos,Lineamientos Generales en Relación con lo Dispuesto por la Fracción I de el Artículo Octavo Transitorio de el Decreto por el que se Reforman y Adicionan Diversas Disposiciones de los Artículos 6o 7o 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de Telecomunicaciones,(Lineamientos),2.	El 27 de febrero de 2014 se publicaron en el DOF los “Lineamientos Generales en Relación con lo Dispuesto por la Fracción I de el Artículo Octavo Transitorio de el Decreto por el que se Reforman y Adicionan Diversas Disposiciones de los Artículos 6o 7o 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de Telecomunicaciones,Regla 2,DOF_P_IFT_301116_681_Acc.docx
Decreto de Ley,Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión y la Ley de el Sistema Público de Radiodifusión de el Estado Mexicano; y se reforman adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión.,(Decreto de Ley),3.	El 14 de julio de 2014 se publicó en el DOF el “Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión y la Ley de el Sistema Público de Radiodifusión de el Estado Mexicano; y se reforman adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión.”,Regla 2,DOF_P_IFT_301116_681_Acc.docx
Ley,Ley Federal de Telecomunicaciones y Radiodifusión,(Ley),4.	El 26 de noviembre de 2014 mediante acuerdo P/IFT/261114/378 el Pleno de el Instituto aprobó someter a consulta pública el anteproyecto de modificación a los Lineamientos y determinó que la consulta pública se realizaría por un periodo de diez días hábiles contados a partir de el día hábil siguiente de su publicación en el portal de Internet de el Instituto lo que transcurrió de el 1 al 12 de diciembre de 2014 de conformidad con los artículos 15 fracción I y 51 de la Ley Federal de Telecomunicaciones y Radiodifusión,Regla 2,DOF_P_IFT_301116_681_Acc.docx
UMCA,Unidad de Medios y Contenidos Audiovisuales,(UMCA),9.	El 2 de septiembre de 2016 la Unidad de Medios y Contenidos Audiovisuales,Regla 2,DOF_P_IFT_301116_681_Acc.docx
CGMR,Coordinación General de Mejora Regulatoria,(CGMR),11.	De conformidad con el segundo párrafo de el artículo 51 de la Ley mediante oficio IFT/224/UMCA/DG-PPRMCA/106/2016 de fecha 30 de noviembre de 2016 la UMCA remitió a la Coordinación General de Mejora Regulatoria,Regla 2,DOF_P_IFT_301116_681_Acc.docx
Constitución,Constitución Política de los Estados Unidos Mexicanos,(Constitución),PRIMERO.- Competencia de el Instituto. De conformidad con el artículo 28 párrafo décimo quinto de la Constitución Política de los Estados Unidos Mexicanos,Regla 2,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(no multiprogramadas y multiprogramadas de mayor audiencia),En ese tenor de ideas el Instituto a fin de cumplir los fines ya referidos considera indispensable que las señales radiodifundidas obligatorias de retransmitir,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(v.gr. 1 2 3 etc.),1.	Se deben ordenar de la forma prevista las señales radiodifundidas de estaciones que no hayan obtenido autorización para multiprogramar,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(v.gr. .1 .2 .3 etc.),2.	También deben ordenarse de dicha forma las señales radiodifundidas multiprogramadas que cuenten con mayor audiencia sin importar el número secundario con el que cuenten,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(v.gr. 1 2 3 etc.),3.	Las señales radiodifundidas referidas en los numerales 1 y 2 deberán agruparse de forma conjunta es decir en un solo bloque y consecutiva o sea uno después de otro sin interrupción y de forma ascendente,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(de acuerdo con la numeración utilizada por el concesionario en cada bloque por ejemplo: 101 102 103 etc. 501 502 503 1001 1002 1003 etc.),4.	Lo señalado en el párrafo anterior debe verificarse en el primer bloque de canales tanto en su caso en el paquete de alta definición como en el de definición estándar,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(v.gr. en la Ciudad de México: 101 102 103 104 105 107 109 111 114 120 121 122 128 134 140 y 145 ó 501 502 503 504 505 507 509 511 514 520 521 522 528 534 540 y 545),5.	Deberá respetarse la numeración específica de canales virtuales asignados por el Instituto en la parte final de el bloque que corresponda,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(v.gr. en la Ciudad de México: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 y 16),Asimismo los elementos regulatorios que conforman la adición de un cuarto párrafo al artículo 11 de los Lineamientos consisten en que los concesionarios de televisión restringida que operen con tecnología analógica deberán cumplir con todas las condiciones establecidas en relación con la modificación al párrafo tercero de el artículo 11 de los Lineamientos con excepción de el numeral 5 es decir no se encontrarán obligadas a respetar el número de canal virtual específico dada la naturaleza técnica de su operación,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(noticias infantil deportes cultural telenovelas etc.),De igual forma los elementos regulatorios que conforman la adición de un quinto párrafo al artículo 11 de los Lineamientos consisten en que los concesionarios de televisión restringida sólo se encuentran obligados a retransmitir las señales radiodifundidas multiprogramadas que tengan la mayor audiencia por ende en caso de que decidan ejercer su derecho de retransmitir las señales multiprogramadas que no tengan la mayor audiencia o en los casos en que se encuentren obligados a ello deberán colocarlas junto con los canales de programación que tengan el mismo o similar género programático es decir en los bloques respectivos con los que se cuente,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(alta definición o definición estándar),Finalmente los concesionarios de televisión restringida que operen con tecnología digital deberán reflejar todo lo anterior en su guía electrónica de programación es decir en orden de forma conjunta y consecutiva en el primer bloque de canales de cada paquete,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(independientemente de su uso),En ese sentido la racionalidad de la modificación que nos ocupa consiste en que las señales de mayor audiencia,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(independientemente de la obligatoriedad en su retransmisión),En ese sentido la racionalidad de la modificación que nos ocupa consiste en que las señales de mayor audiencia (independientemente de su uso) y las que no son de mayor audiencia,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(canal de programación con mayor nivel de audiencia de entre aquellos distribuidos en un mismo canal de transmisión),En ese sentido la racionalidad de la modificación que nos ocupa consiste en que las señales de mayor audiencia (independientemente de su uso) y las que no son de mayor audiencia (independientemente de la obligatoriedad en su retransmisión) deben seguir las reglas especificadas en la modificación de el artículo 11 y en ese sentido resulta pertinente definir de manera clara cuál es el concepto de “señal radiodifundida multiprogramada de mayor audiencia”,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(aquella transmitida por concesionarios que no hayan obtenido autorización para acceder a la multiprogramación),En ese sentido la racionalidad de la modificación que nos ocupa consiste en que las señales de mayor audiencia (independientemente de su uso) y las que no son de mayor audiencia (independientemente de la obligatoriedad en su retransmisión) deben seguir las reglas especificadas en la modificación de el artículo 11 y en ese sentido resulta pertinente definir de manera clara cuál es el concepto de “señal radiodifundida multiprogramada de mayor audiencia” (canal de programación con mayor nivel de audiencia de entre aquellos distribuidos en un mismo canal de transmisión) y “señal radiodifundida no multiprogramada”,Regla 3,DOF_P_IFT_301116_681_Acc.docx
Vacía, Vacía ,(R.- 442592),,Regla 3,DOF_P_IFT_301116_681_Acc.docx
DOF,Diario Oficial de la Federación,(DOF),Que el 11 de junio de 2013 se publicó en el Diario Oficial de la Federación,Regla 2,P_IFT_060416_132_Acc.docx
Instituto,Instituto Federal de Telecomunicaciones,(Instituto),Que el 11 de junio de 2013 se publicó en el Diario Oficial de la Federación (DOF) el "Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o. 7o. 27 28 73 78 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos en materia de telecomunicaciones" mediante el cual se creó el Instituto Federal de Telecomunicaciones,Regla 2,P_IFT_060416_132_Acc.docx
LFD,Ley Federal de Derechos,(LFD),Que la Ley Federal de Derechos,Regla 2,P_IFT_060416_132_Acc.docx
Acuerdo,Acuerdo mediante el cual el Pleno de el Instituto Federal de Telecomunicaciones fija el monto de los aprovechamientos que deberán cobrarse por la prestación de diversos servicios públicos en el ejercicio de sus funciones de derecho público por los que no se establece monto especifico en la Ley Federal de Derechos,(Acuerdo),Que en su XXIX Sesión Extraordinaria celebrada el 13 de noviembre de 2014 el órgano máximo de decisión de este Instituto expidió el “Acuerdo mediante el cual el Pleno de el Instituto Federal de Telecomunicaciones fija el monto de los aprovechamientos que deberán cobrarse por la prestación de diversos servicios públicos en el ejercicio de sus funciones de derecho público por los que no se establece monto especifico en la Ley Federal de Derechos”,Regla 2,P_IFT_060416_132_Acc.docx
Vacía, Vacía ,(i),Que en su XXIX Sesión Extraordinaria celebrada el 13 de noviembre de 2014 el órgano máximo de decisión de este Instituto expidió el “Acuerdo mediante el cual el Pleno de el Instituto Federal de Telecomunicaciones fija el monto de los aprovechamientos que deberán cobrarse por la prestación de diversos servicios públicos en el ejercicio de sus funciones de derecho público por los que no se establece monto especifico en la Ley Federal de Derechos” (Acuerdo) en el cual se determinaron conforme a su Anexo I las cuotas que deberían cubrir los interesados en recibir los siguientes servicios por parte de el Instituto:,Regla 3,P_IFT_060416_132_Acc.docx
Vacía, Vacía ,(ii),Que en su XXIX Sesión Extraordinaria celebrada el 13 de noviembre de 2014 el órgano máximo de decisión de este Instituto expidió el “Acuerdo mediante el cual el Pleno de el Instituto Federal de Telecomunicaciones fija el monto de los aprovechamientos que deberán cobrarse por la prestación de diversos servicios públicos en el ejercicio de sus funciones de derecho público por los que no se establece monto especifico en la Ley Federal de Derechos” (Acuerdo) en el cual se determinaron conforme a su Anexo I las cuotas que deberían cubrir los interesados en recibir los siguientes servicios por parte de el Instituto: (i) por el estudio de la solicitud expedición de título y prórroga de concesión única para uso comercial y,Regla 3,P_IFT_060416_132_Acc.docx
Instituto,Instituto Federal de Telecomunicaciones,(en lo sucesivo “Instituto”),Que conforme al artículo 15 fracción LV de la Ley Federal de Telecomunicaciones y Radiodifusión corresponde al Instituto Federal de Telecomunicaciones,Regla 2,P_IFT_060416_159_Acc.docx
Disposiciones,Disposiciones por las que se establece el Sistema de Servicio Profesional de el Instituto Federal de Telecomunicaciones,(en lo sucesivo “Disposiciones”),Que el 25 de febrero de 2015 el Instituto publicó en el Diario Oficial de la Federación las “Disposiciones por las que se establece el Sistema de Servicio Profesional de el Instituto Federal de Telecomunicaciones”,Regla 2,P_IFT_060416_159_Acc.docx
Vacía, Vacía ,(en los sucesivo la “LFRTV”),I.- Otorgamiento de la Concesión. El 29 de noviembre de 1994 de conformidad con los artículos 17 y 19 y demás relativos de la Ley Federal de Radio y Televisión,Regla 3,L_P_IFT_231015_479_Acc.docx
SCT,Secretaría de Comunicaciones y Transportes,(en lo sucesivo la “SCT”),I.- Otorgamiento de la Concesión. El 29 de noviembre de 1994 de conformidad con los artículos 17 y 19 y demás relativos de la Ley Federal de Radio y Televisión (en los sucesivo la “LFRTV”) la Secretaría de Comunicaciones y Transportes,Regla 1,L_P_IFT_231015_479_Acc.docx
Vacía, Vacía ,(quince),I.- Otorgamiento de la Concesión. El 29 de noviembre de 1994 de conformidad con los artículos 17 y 19 y demás relativos de la Ley Federal de Radio y Televisión (en los sucesivo la “LFRTV”) la Secretaría de Comunicaciones y Transportes (en lo sucesivo la “SCT”) otorgó a favor de Televisora Alco S.A. de C.V. la Concesión para operar y explotar el canal 59 a través de la estación de televisión con distintivo de llamada XHSDD-TV en Sabinas Coahuila con vigencia de 15,Regla 3,L_P_IFT_231015_479_Acc.docx
Concesión,Concesión para operar y explotar el canal 59 a través de la estación de televisión con distintivo de llamada XHSDD-TV en Sabinas Coahuila con vigencia de 15 quince años contados a partir de el día 17 de agosto de 1994 y vencimiento el 16 de agosto de 2009,(en lo sucesivo la “Concesión”),I.- Otorgamiento de la Concesión. El 29 de noviembre de 1994 de conformidad con los artículos 17 y 19 y demás relativos de la Ley Federal de Radio y Televisión (en los sucesivo la “LFRTV”) la Secretaría de Comunicaciones y Transportes (en lo sucesivo la “SCT”) otorgó a favor de Televisora Alco S.A. de C.V. la Concesión para operar y explotar el canal 59 a través de la estación de televisión con distintivo de llamada XHSDD-TV en Sabinas Coahuila con vigencia de 15 (quince) años contados a partir de el día 17 de agosto de 1994 y vencimiento el 16 de agosto de 2009,Regla 1,L_P_IFT_231015_479_Acc.docx
Vacía, Vacía ,(en lo sucesivo el “Concesionario”),IV.- Segunda Cesión de Derechos. El 17 de enero de 2006 la SCT una vez satisfechos los requisitos de ley autorizó el cambio de titularidad de los derechos derivados de la Concesión de Melchor Sánchez Dovalina a favor de Telesistemas de Coahuila S.A. de C.V.,Regla 3,L_P_IFT_231015_479_Acc.docx
