RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_MODIFICA_LA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_modifica_la NP00000 1
RADIODIFUSIÓN_Y_TELECOMUNICACIONES_CON_RESIDENCIA_EN_LA_CIUDAD_DE_MÉXICO_Y_JURISDICCIÓN_EN_TODA_LA_REPÚBLICA_CORRESPONDIENTE_A_EL_AMPARO_EN_REVISIÓN radiodifusión_y_telecomunicaciones_con_residencia_en_la_ciudad_de_méxico_y_jurisdicción_en_toda_la_república_correspondiente_a_el_amparo_en_revisión NP00000 1
24/2016 24/2016 Z 1
. . Fp 1

ANTECEDENTES_Teléfonos_de_México antecedentes_teléfonos_de_méxico NP00000 1
, , Fc 1
S.A.B._de_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
Telmex telmex NP00000 1
” ” Frc 1
) ) Fpt 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
que que PR0CN00 0.550139
cuenta contar VMIP3S0 0.768585
con con SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgados otorgar VMP00PM 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
e y CC 0.987994
inscritos inscribir VMP00PM 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_Concesiones_de_el_Instituto_Federal_de_Telecomunicaciones registro_público_de_concesiones_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
Telnor telnor NP00000 1
” ” Frc 1
) ) Fpt 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
que que PR0CN00 0.550139
cuenta contar VMIP3S0 0.768585
con con SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgados otorgar VMP00PM 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
e y CC 0.987994
inscritos inscribir VMP00PM 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_Concesiones_de_el_Instituto registro_público_de_concesiones_de_el_instituto NP00000 1
. . Fp 1

Maxcom_Telecomunicaciones maxcom_telecomunicaciones NP00000 1
, , Fc 1
S.A.B._de_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
“ “ Fra 1
Maxcom maxcom NP00000 1
” ” Frc 1
) ) Fpt 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
concesionario concesionario NCMS000 0.488737
que que PR0CN00 0.550139
cuenta contar VMIP3S0 0.768585
con con SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgados otorgar VMP00PM 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
e y CC 0.987994
inscritos inscribir VMP00PM 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_Concesiones_de_el_Instituto registro_público_de_concesiones_de_el_instituto NP00000 1
. . Fp 1

Determinación_de_el_Agente_Económico_Preponderante determinación_de_el_agente_económico_preponderante NP00000 1
. . Fp 1

El el DA0MS0 1
6_de_marzo_de_2014 [??:6/3/2014:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
, , Fc 1
en en SP 1
su su DP3CSN 1
V_Sesión_Extraordinaria v_sesión_extraordinaria NP00000 1
aprobó aprobar VMIS3S0 1
la el DA0FS0 0.98926
“ “ Fra 1
RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_A_EL_GRUPO_DE_INTERÉS_ECONÓMICO_DE_EL_QUE_FORMAN_PARTE_AMÉRICA_MÓVIL resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_a_el_grupo_de_interés_económico_de_el_que_forman_parte_américa_móvil NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
TELÉFONOS_DE_MÉXICO teléfonos_de_méxico NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
TELÉFONOS_DE_EL_NOROESTE teléfonos_de_el_noroeste NP00000 1
, , Fc 1
S.A._DE_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
RADIOMÓVIL_DIPSA radiomóvil_dipsa NP00000 1
, , Fc 1
S.A.B._DE_C._V. s.a.b._de_c._v. NP00000 1
, , Fc 1
GRUPO_CARSO grupo_carso NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
Y_GRUPO_FINANCIERO_INBURSA y_grupo_financiero_inbursa NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
COMO_AGENTE_ECONÓMICO_PREPONDERANTE_EN_EL_SECTOR_DE_TELECOMUNICACIONES_Y_LE_IMPONE_LAS_MEDIDAS_NECESARIAS_PARA_EVITAR_QUE_SE_AFECTE_LA_COMPETENCIA_Y_LA_LIBRE_CONCURRENCIA como_agente_económico_preponderante_en_el_sector_de_telecomunicaciones_y_le_impone_las_medidas_necesarias_para_evitar_que_se_afecte_la_competencia_y_la_libre_concurrencia NP00000 1
” ” Frc 1
, , Fc 1
aprobada aprobar VMP00SF 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/060314/76 P/IFT/EXT/060314/76 Z 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Resolución_de_el_AEP resolución_de_el_aep NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Dentro_de dentro_de SP 1
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
P/IFT/EXT/060314/76 P/IFT/EXT/060314/76 Z 1
como como CS 0.967153
anexo anexo NCMS000 0.736395
2 2 Z 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
aprobó aprobar VMIS3S0 1
las el DA0FP0 0.988184
“ “ Fra 1
MEDIDAS_RELACIONADAS_CON_INFORMACIÓN medidas_relacionadas_con_información NP00000 1
, , Fc 1
OFERTA_Y_CALIDAD_DE_SERVICIOS oferta_y_calidad_de_servicios NP00000 1
, , Fc 1
ACUERDOS_EN_EXCLUSIVA acuerdos_en_exclusiva NP00000 1
, , Fc 1
LIMITACIONES_A_EL_USO_DE_EQUIPOS_TERMINALES_ENTRE_REDES limitaciones_a_el_uso_de_equipos_terminales_entre_redes NP00000 1
, , Fc 1
REGULACIÓN_ASIMÉTRICA_EN_TARIFAS_E_INFRAESTRUCTURA_DE_RED regulación_asimétrica_en_tarifas_e_infraestructura_de_red NP00000 1
, , Fc 1
INCLUYENDO_LA_DESAGREGACIÓN_DE_SUS_ELEMENTOS_ESENCIALES_Y incluyendo_la_desagregación_de_sus_elementos_esenciales_y NP00000 1
, , Fc 1
EN_SU_CASO en_su_caso NP00000 1
, , Fc 1
LA_SEPARACIÓN_CONTABLE la_separación_contable NP00000 1
, , Fc 1
FUNCIONAL_O_ESTRUCTURAL_A_EL_AGENTE_ECONÓMICO_PREPONDERANTE_EN_LOS_SERVICIOS_DE_TELECOMUNICACIONES_FIJOS funcional_o_estructural_a_el_agente_económico_preponderante_en_los_servicios_de_telecomunicaciones_fijos NP00000 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
las el DA0FP0 0.988184
“ “ Fra 1
Medidas_Fijas medidas_fijas NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Metodología metodología NP00000 0.331016
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
. . Fp 1

El el DA0MS0 1
18_de_diciembre_de_2014 [??:18/12/2014:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
emite emitir VMIP3S0 0.989238
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
” ” Frc 1
, , Fc 1
aprobado aprobar VMP00SM 0.958015
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/161214/277 P/IFT/EXT/161214/277 Z 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Metodología_de_Costos metodología_de_costos NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Publicación_de_Tarifas_de_Interconexión publicación_de_tarifas_de_interconexión NP00000 1
de de SP 1
el el DA0MS0 1
año_2015 [??:??/??/2015:??.??:??] W 1
. . Fp 1

El el DA0MS0 1
29_de_diciembre_de_2014 [??:29/12/2014:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
utilizará utilizar VMIF3S0 1
para para SP 0.999834
resolver resolver VMN0000 1
los el DA0MP0 0.992728
desacuerdos desacuerdo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
presenten presentar VMSP3P0 0.980769
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
aplicables aplicable AQ0CP00 1
a a SP 1
el el DA0MS0 1
año_2015 [??:??/??/2015:??.??:??] W 1
” ” Frc 1
, , Fc 1
aprobado aprobar VMP00SM 0.958015
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/191214/284 P/IFT/EXT/191214/284 Z 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo_de_Tarifas acuerdo_de_tarifas NP00000 1
2015 2015 Z 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Sistema_Electrónico_de_Solicitudes_de_Interconexión sistema_electrónico_de_solicitudes_de_interconexión NP00000 1
. . Fp 1

El el DA0MS0 1
29_de_diciembre_de_2014 [??:29/12/2014:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
Sistema_Electrónico_de_Solicitudes_de_Interconexión sistema_electrónico_de_solicitudes_de_interconexión NP00000 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo_de_el_Sistema acuerdo_de_el_sistema NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
estableció establecer VMIS3S0 1
el el DA0MS0 1
Sistema_Electrónico_de_Solicitudes_de_Interconexión sistema_electrónico_de_solicitudes_de_interconexión NP00000 1
, , Fc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
SESI sesi NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud_de_Resolución solicitud_de_resolución NP00000 1
de de SP 0.999961
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
. . Fp 1

El el DA0MS0 1
25_de_mayo_de_2015 [??:25/5/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
apoderado apoderado NCMS000 0.788462
general general AQ0CS00 0.826212
para para SP 0.999834
pleitos pleito NCMP000 1
, , Fc 1
cobranzas cobranza NCFP000 1
y y CC 0.999989
actos acto NCMP000 1
de de SP 0.999961
administración administración NCFS000 1
de de SP 0.999961
Telmex telmex NP00000 1
y y CC 0.999989
Telnor telnor NP00000 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
escrito escribir VMP00SM 0.533113
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
solicitó solicitar VMIS3S0 1
su su DP3CSN 1
intervención intervención NCFS000 1
para para SP 0.999834
acordar acordar VMN0000 1
los el DA0MP0 0.992728
términos término NCMP000 1
y y CC 0.999989
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
no no RN 0.999297
pudo poder VMIS3S0 1
convenir convenir VMN0000 1
con con SP 1
Maxcom maxcom NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
respectivas respectivo AQ0FP00 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
aplicaran aplicar VMSI3P0 1
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
comprendido comprender VMP00SM 1
de de SP 1
el el DA0MS0 1
1_de_enero_de_2015 [??:1/1/2015:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_diciembre_de_2015 [??:31/12/2015:??.??:??] W 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud_de_Resolución solicitud_de_resolución NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

La el DA0FS0 0.98926
Solicitud_de_Resolución solicitud_de_resolución NP00000 1
se se P00CN00 0.494509
admitió admitir VMIS3S0 1
a a SP 0.998775
trámite trámite NCMS000 1
, , Fc 1
el el DA0MS0 1
procedimiento procedimiento NCMS000 1
fue ser VSIS3S0 0.980739
sustanciado sustanciar VMP00SM 1
en en SP 1
todas todo DI0FP0 0.934073
y y CC 0.999989
cada cada DI0CS0 1
una uno PI0FS00 0.0420733
de de SP 0.999961
sus su DP3CPN 0.999903
etapas etapa NCFP000 1
en en SP 1
estricto estricto AQ0MS00 1
apego apego NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
LFTR lftr NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
documentado documentar VMP00SM 1
en en SP 1
las el DA0FP0 0.988184
constancias constancia NCFP000 1
que que PR0CN00 0.550139
integran integrar VMIP3P0 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
administrativo administrativo AQ0MS00 0.661294
en en SP 1
comento comento NCMS000 0.987779
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
ha haber VAIP3S0 0.999889
estado estar VMP00SM 0.346619
en en SP 1
todo todo DI0MS0 0.6662
momento momento NCMS000 1
a a SP 0.998775
disposición disposición NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
, , Fc 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
tienen tener VMIP3P0 1
pleno pleno AQ0MS00 0.375776
conocimiento conocimiento NCMS000 1
de de SP 0.999961
su su DP3CSN 1
contenido contenido NCMS000 0.993421
. . Fp 1

Es ser VSIP3S0 1
así así RG 0.999409
que que CS 0.449861
con con SP 1
fecha fecha NCFS000 0.990741
17_de_julio_de_2015 [??:17/7/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
notificó notificar VMIS3S0 1
a a SP 0.998775
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
que que PR0CN00 0.550139
el el DA0MS0 1
procedimiento procedimiento NCMS000 1
guardaba guardar VMII3S0 0.65
estado estar VMP00SM 0.346619
para para SP 0.999834
que que CS 0.449861
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
dictase dictar VMSI3S0 0.634863
la el DA0FS0 0.98926
resolución resolución NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

Emisión_de_el_Acuerdo emisión_de_el_acuerdo NP00000 1
P/IFT/120815/351 P/IFT/120815/351 Z 1
. . Fp 1

El el DA0MS0 1
12_de_agosto_de_2015 [??:12/8/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
en en SP 1
su su DP3CSN 1
XVI_Sesión_Ordinaria xvi_sesión_ordinaria NP00000 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/120815/351 P/IFT/120815/351 Z 1
, , Fc 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
“ “ Fra 1
RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_LAS_EMPRESAS_TELÉFONOS_DE_MÉXICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_las_empresas_teléfonos_de_méxico NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
TELEFÓNOS_DE_EL_NOROESTE telefónos_de_el_noroeste NP00000 1
, , Fc 1
S.A._DE_C.V._Y_LA_EMPRESA_MAXCOM_TELECOMUNICACIONES s.a._de_c.v._y_la_empresa_maxcom_telecomunicaciones NP00000 1
, , Fc 1
S.A.B._DE_C.V. s.a.b._de_c.v. NP00000 1
, , Fc 1
APLICABLES_DE_EL aplicables_de_el NP00000 1
1_DE_ENERO [??:1/1/??:??.??:??] W 1
A_EL a_el NP00000 1
31_DE_DICIEMBRE_DE_2015 [??:31/12/2015:??.??:??] W 1
” ” Frc 1
. . Fp 1

Cumplimento cumplimentar VMIP1S0 1
a a SP 0.998775
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
de de SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
24/2016 24/2016 Z 1
. . Fp 1

Mediante mediante SP 0.99763
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
18_de_enero_de_2018 [??:18/1/2018:??.??:??] W 1
correspondiente correspondiente AQ0CS00 0.993421
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
R.A. r.a. NP00000 1
24/2016 24/2016 Z 1
, , Fc 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado segundo_tribunal_colegiado NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
resolvió resolver VMIS3S0 1
modificar modificar VMN0000 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
de de SP 1
el el DA0MS0 1
juicio juicio NCMS000 1
de de SP 0.999961
amparo amparo NCMS000 0.986111
1646/2015 1646/2015 Z 1
de de SP 1
el el DA0MS0 1
índice índice NCMS000 1
de de SP 1
el el DA0MS0 1
Juzgado_Primero_de_Distrito juzgado_primero_de_distrito NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
y y CC 0.999989
conceder conceder VMN0000 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
a a SP 0.998775
Telmex telmex NP00000 1
y y CC 0.999989
Telnor telnor NP00000 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
los el DA0MP0 0.992728
referidos referir VMP00PM 1
Antecedentes antecedentes NP00000 1
, , Fc 1
y y CC 0.999989
