RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_EL_GOBIERNO_DE_EL_ESTADO_DE_MICHOACÁN_DE_OCAMPO_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_PÚBLICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_el_gobierno_de_el_estado_de_michoacán_de_ocampo_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_para_uso_público NP00000 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
” ” Frc 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
13_de_agosto_de_2014 [??:13/8/2014:??.??:??] W 1
. . Fp 1

Estatuto_Orgánico estatuto_orgánico NP00000 1
. . Fp 1

El el DA0MS0 1
4_de_septiembre_de_2014 [??:4/9/2014:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
26_de_septiembre_de_2014 [??:26/9/2014:??.??:??] W 1
y y CC 0.999989
se se P00CN00 0.494509
modificó modificar VMIS3S0 1
a_través_de a_través_de SP 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
modifica modificar VMIP3S0 0.973451
el el DA0MS0 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
” ” Frc 1
de de SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
17_de_octubre_de_2016 [??:17/10/2016:??.??:??] W 1
. . Fp 1

Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
. . Fp 1

El el DA0MS0 1
24_de_julio_de_2015 [??:24/7/2015:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF_los_Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones dof_los_lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
Título_Cuarto_de_la_Ley_Federal_de_Telecomunicaciones título_cuarto_de_la_ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
los el DA0MP0 0.992728
“ “ Fra 1
Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Programa_Anual_de_Uso programa_anual_de_uso NP00000 1
y y CC 0.999989
Aprovechamiento_de_Bandas_de_Frecuencias aprovechamiento_de_bandas_de_frecuencias NP00000 1
2016 2016 Z 1
. . Fp 1

El el DA0MS0 1
5_de_octubre_de_2015 [??:5/10/2015:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
Programa_Anual_de_Uso programa_anual_de_uso NP00000 1
y y CC 0.999989
Aprovechamiento_de_Bandas_de_Frecuencias aprovechamiento_de_bandas_de_frecuencias NP00000 1
2016 2016 Z 1
” ” Frc 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
fue ser VSIS3S0 0.980739
modificado modificar VMP00SM 1
por por SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
mediante mediante SP 0.99763
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
P/IFT/130116/1 P/IFT/130116/1 Z 1
publicado publicar VMP00SM 1
, , Fc 1
en en SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
medio medio NCMS000 0.21966
de de SP 0.999961
difusión difusión NCFS000 1
oficial oficial AQ0CS00 0.986284
, , Fc 1
el el DA0MS0 1
21_de_enero_de_2016 [??:21/1/2016:??.??:??] W 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
el el DA0MS0 1
“ “ Fra 1
Programa_Anual programa_anual NP00000 1
2016 2016 Z 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Otorgamiento otorgamiento NP00000 0.331016
de de SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
Concesión_Única concesión_única NP00000 1
. . Fp 1

El el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
, , Fc 1
en en SP 1
su su DP3CSN 1
XIII_Sesión_Ordinaria xiii_sesión_ordinaria NP00000 1
, , Fc 1
celebrada celebrar VMP00SF 1
el el DA0MS0 1
18_de_mayo_de_2016 [??:18/5/2016:??.??:??] W 1
, , Fc 1
aprobó aprobar VMIS3S0 1
en en SP 1
lo el DA00S0 0.665165
general general NCCS000 0.173788
por por SP 1
unanimidad unanimidad NCFS000 1
de de SP 0.999961
votos voto NCMP000 1
la el DA0FS0 0.98926
Resolución resolución NP00000 1
contenida contener VMP00SF 1
en en SP 1
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
P/IFT/180516/228 P/IFT/180516/228 Z 1
, , Fc 1
por_medio_de por_medio_de SP 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
autorizó autorizar VMIS3S0 1
la el DA0FS0 0.98926
transición transición NCFS000 1
de de SP 0.999961
cincuenta_y_ocho 58 Z 1
permisos permiso NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
régimen régimen NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Ley ley NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
, , Fc 1
entre entre SP 0.980341
los el DA0MP0 0.992728
cuales cual PR0CP00 1
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
algunos alguno PI0MP00 0.39667
de de SP 1
el el DA0MS0 1
Gobierno_de_el_Estado_de_Michoacán_de_Ocampo gobierno_de_el_estado_de_michoacán_de_ocampo NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
el el DA0MS0 1
“ “ Fra 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
a a SP 1
el el DA0MS0 1
efecto efecto NCMS000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
le le PP3CSD0 1
otorgó otorgar VMIS3S0 1
una uno DI0FS0 0.951973
Concesión_Única concesión_única NP00000 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
para para SP 0.999834
prestar prestar VMN0000 1
los el DA0MP0 0.992728
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
26_de_mayo_de_2016 [??:26/5/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
formuló formular VMIS3S0 1
por por SP 1
conducto conducto NCMS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
canal canal NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
radiodifundida radiodifundido AQ0FS00 1
digital digital AQ0CS00 0.986111
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
“ “ Fra 1
TDT tdt NP00000 1
” ” Frc 1
) ) Fpt 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
localidad localidad NCFS000 1
de de SP 0.999961
Huetamo_de_Núñez huetamo_de_núñez NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Michoacán estado_de_michoacán NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/989/2016 IFT/223/UCS/989/2016 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
29_de_junio_de_2016 [??:29/6/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
UCS ucs NP00000 1
” ” Frc 1
) ) Fpt 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
sobre sobre SP 0.997804
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
párrafo párrafo NCMS000 1
décimo décimo NCMS000 0.392601
séptimo 7 AO0MS00 0.991803
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Constitución constitución NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Requerimiento_de_Información requerimiento_de_información NP00000 1
. . Fp 1

La el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Radiodifusión dirección_general_de_concesiones_de_radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
DGCR dgcr NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
UCS_de_el_Instituto ucs_de_el_instituto NP00000 1
, , Fc 1
requirió requerir VMIS3S0 1
a a SP 1
el el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
diversa diverso DI0FS0 0.413851
información información NCFS000 1
complementaria complementario AQ0FS00 1
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CRAD/2272/2016 IFT/223/UCS/DG-CRAD/2272/2016 Z 1
, , Fc 1
notificado notificar VMP00SM 1
el el DA0MS0 1
15_de_julio_de_2016 [??:15/7/2016:??.??:??] W 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
con_objeto_de con_objeto_de SP 1
que que CS 0.449861
se se P00CN00 0.494509
encontrara encontrar VMSI3S0 0.649999
debidamente debidamente RG 1
integrada integrar VMP00SF 1
. . Fp 1

Solicitud_de_Asignación_de_el_Canal solicitud_de_asignación_de_el_canal NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CRAD/2452/2016 IFT/223/UCS/DG-CRAD/2452/2016 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
02_de_agosto_de_2016 [??:2/8/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
DGCR dgcr NP00000 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
UER uer NP00000 1
” ” Frc 1
) ) Fpt 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
la el DA0FS0 0.98926
asignación asignación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
canal canal NCMS000 1
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
determinar determinar VMN0000 1
la el DA0FS0 0.98926
viabilidad viabilidad NCFS000 1
de de SP 0.999961
su su DP3CSN 1
otorgamiento otorgamiento NCMS000 1
. . Fp 1

Opinión_Técnica_de_la_Secretaría opinión_técnica_de_la_secretaría NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
2.1.-509/2016 2.1.-509/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
10_de_agosto_de_2016 [??:10/8/2016:??.??:??] W 1
, , Fc 1
recibido recibir VMP00SM 1
en en SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
día día NCMS000 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Política_de_Telecomunicaciones dirección_general_de_política_de_telecomunicaciones NP00000 1
y y CC 0.999989
de de SP 0.999961
Radiodifusión_de_la_Secretaría radiodifusión_de_la_secretaría NP00000 1
, , Fc 1
remitió remitir VMIS3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
favorable favorable AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
contenida contener VMP00SF 1
en en SP 1
el el DA0MS0 1
diverso diverso AQ0MS00 0.586149
oficio oficio NCMS000 0.986111
número número NCMS000 1
1.-164 1.-164 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
10_de_agosto_de_2016 [??:10/8/2016:??.??:??] W 1
, , Fc 1
suscrito suscribir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Subsecretaria_de_Comunicaciones subsecretaria_de_comunicaciones NP00000 1
en en SP 1
ausencia ausencia NCFS000 1
de de SP 1
el el DA0MS0 1
Secretario_de_Comunicaciones secretario_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
. . Fp 1

Solicitud_de_Ampliación solicitud_de_ampliación NP00000 1
de de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
para para SP 0.999834
atender atender VMN0000 1
el el DA0MS0 1
Requerimiento_de_Información requerimiento_de_información NP00000 1
. . Fp 1
- - Fg 1
Con con SP 1
oficio oficio NCMS000 0.986111
DG/226/2016 DG/226/2016 Z 1
presentado presentar VMP00SM 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
08_de_septiembre_de_2016 [??:8/9/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
, , Fc 1
solicitó solicitar VMIS3S0 1
la el DA0FS0 0.98926
ampliación ampliación NCFS000 1
de de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
para para SP 0.999834
efecto efecto NCMS000 1
de de SP 0.999961
estar estar VMN0000 0.999154
en en SP 1
posibilidad posibilidad NCFS000 1
de de SP 0.999961
desahogar desahogar VMN0000 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
de de SP 0.999961
información información NCFS000 1
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
Antecedente_IX antecedente_ix NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
. . Fp 1

Atención atención NCFS000 0.994638
a a SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
de de SP 0.999961
información información NCFS000 1
. . Fp 1

El el DA0MS0 1
08_de_septiembre_de_2016 [??:8/9/2016:??.??:??] W 1
mediante mediante SP 0.99763
el el DA0MS0 1
oficio oficio NCMS000 0.986111
DGEM/126/2016 DGEM/126/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
07_de_septiembre_de_2016 [??:7/9/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
por por SP 1
conducto conducto NCMS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
, , Fc 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
información información NCFS000 1
y y CC 0.999989
documentación documentación NCFS000 1
adicional adicional AQ0CS00 1
en en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
Antecedente_IX antecedente_ix NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
. . Fp 1

Primer 1 AO0MS00 1
Alcance alcance NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Atención atención NP00000 1
de de SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
de de SP 0.999961
información información NCFS000 1
. . Fp 1

El el DA0MS0 1
08_de_septiembre_de_2016 [??:8/9/2016:??.??:??] W 1
mediante mediante SP 0.99763
el el DA0MS0 1
oficio oficio NCMS000 0.986111
DGEM/117/2016 DGEM/117/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
25_de_agosto_de_2016 [??:25/8/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
por por SP 1
conducto conducto NCMS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
, , Fc 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
información información NCFS000 1
y y CC 0.999989
documentación documentación NCFS000 1
adicional adicional AQ0CS00 1
en en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
Antecedente_IX antecedente_ix NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
. . Fp 1

Segundo_Alcance segundo_alcance NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Atención atención NP00000 1
de de SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
de de SP 0.999961
información información NCFS000 1
. . Fp 1

El el DA0MS0 1
12_de_octubre_de_2016 [??:12/10/2016:??.??:??] W 1
mediante mediante SP 0.99763
el el DA0MS0 1
oficio oficio NCMS000 0.986111
DG/252/2016 DG/252/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
12_de_octubre_de_2016 [??:12/10/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
por por SP 1
conducto conducto NCMS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
, , Fc 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
información información NCFS000 1
y y CC 0.999989
documentación documentación NCFS000 1
adicional adicional AQ0CS00 1
en en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
Antecedente_IX antecedente_ix NP00000 1
de de SP 0.999961
