ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
DECRETO decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expiden expedir VMIP3P0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
y y CC 0.999989
la el DA0FS0 0.98926
Ley_de_el_Sistema_Público_de_Radiodifusión_de_el_Estado_Mexicano ley_de_el_sistema_público_de_radiodifusión_de_el_estado_mexicano NP00000 1
; ; Fx 1
y y CC 0.999989
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
, , Fc 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
” ” Frc 1
, , Fc 1
entrando entrar VMG0000 1
en en SP 1
vigor vigor NCMS000 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
LFTR lftr NP00000 1
” ” Frc 1
) ) Fpt 1
el el DA0MS0 1
13_de_agosto_de_2014 [??:13/8/2014:??.??:??] W 1
. . Fp 1

Estatuto_Orgánico estatuto_orgánico NP00000 1
. . Fp 1

El el DA0MS0 1
4_de_septiembre_de_2014 [??:4/9/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
26_de_septiembre_de_2014 [??:26/9/2014:??.??:??] W 1
, , Fc 1
y y CC 0.999989
fue ser VSIS3S0 0.980739
modificado modificar VMP00SM 1
por por SP 1
última último AO0FS00 1
vez vez NCFS000 1
el el DA0MS0 1
20_de_julio_de_2017 [??:20/7/2017:??.??:??] W 1
. . Fp 1

El el DA0MS0 1
3_de_octubre_de_2016 [??:3/10/2016:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
establece establecer VMIP3S0 0.992424
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
estarán estar VMIF3P0 0.994505
vigentes vigente AQ0CP00 1
de de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_diciembre_de_2017 [??:31/12/2017:??.??:??] W 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo_de_CTM acuerdo_de_ctm NP00000 1
2017 2017 Z 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
aprobado aprobar VMP00SM 0.958015
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/200916/503 P/IFT/200916/503 Z 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
9_de_noviembre_de_2017 [??:9/11/2017:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
establece establecer VMIP3S0 0.992424
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
estarán estar VMIF3P0 0.994505
vigentes vigente AQ0CP00 1
de de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_diciembre_de_2018 [??:31/12/2018:??.??:??] W 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo_de_CTM acuerdo_de_ctm NP00000 1
2018 2018 Z 1
” ” Frc 1
) ) Fpt 1
aprobado aprobar VMP00SM 0.958015
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/021117/657 P/IFT/021117/657 Z 1
. . Fp 1

CONSIDERANDO_PRIMERO considerando_primero NP00000 1
. . Fp 1
- - Fg 1
Competencia_de_el_Instituto competencia_de_el_instituto NP00000 1
. . Fp 1

De de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6 6 Z 1
, , Fc 1
apartado apartar VMP00SM 0.336957
B b NP00000 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
28 28 Z 1
, , Fc 1
párrafos párrafo NCMP000 1
décimo 10 AO0MS00 0.607399
quinto quinto NCMS000 0.264249
, , Fc 1
décimo décimo NCMS000 0.392601
sexto 6 AO0MS00 0.987805
y y CC 0.999989
vigésimo 20 AO0MS00 1
, , Fc 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
, , Fc 1
III iii NP00000 1
y y CC 0.999989
IV iv NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
, , Fc 1
así_como así_como CC 1
en en SP 1
los el DA0MP0 0.992728
diversos diverso DI0MP0 0.938596
1 1 Z 1
, , Fc 1
2 2 Z 1
, , Fc 1
3 3 Z 1
, , Fc 1
7 7 Z 1
, , Fc 1
primer 1 AO0MS00 1
párrafo párrafo NCMS000 1
, , Fc 1
15 15 Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
124 124 Z 1
y y CC 0.999989
137 137 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
; ; Fx 1
y y CC 0.999989
6 6 Z 1
fracción fracción NCFS000 1
IV_de_el_Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones iv_de_el_estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
; ; Fx 1
el el DA0MS0 1
Instituto instituto NP00000 1
como como CS 0.967153
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
, , Fc 1
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Constitución constitución NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
que que PR0CN00 0.550139
fijen fijar VMSP3P0 0.941964
las el DA0FP0 0.988184
leyes ley NCFP000 1
. . Fp 1

Para para SP 0.999834
tal tal DD0CS0 0.672764
efecto efecto NCMS000 1
, , Fc 1
tiene tener VMIP3S0 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
la el DA0FS0 0.98926
regulación regulación NCFS000 1
, , Fc 1
promoción promoción NCFS000 1
y y CC 0.999989
supervisión supervisión NCFS000 1
de de SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
las el DA0FP0 0.988184
redes red NCFP000 0.990196
y y CC 0.999989
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
de de SP 1
el el DA0MS0 1
acceso acceso NCMS000 1
a a SP 0.998775
infraestructura infraestructura NCFS000 1
activa activo AQ0FS00 0.992395
, , Fc 1
pasiva pasivo AQ0FS00 0.661244
y y CC 0.999989
otros otro DI0MP0 0.745978
insumos insumo NCMP000 1
esenciales esencial AQ0CP00 1
, , Fc 1
garantizando garantizar VMG0000 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6 6 Z 1
y y CC 0.999989
7 7 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
, , Fc 1
será ser VSIF3S0 1
también también RG 1
autoridad autoridad NCFS000 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
de de SP 0.999961
los el DA0MP0 0.992728
sectores sector NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
en en SP 1
éstos este PD0MP00 1
ejercerá ejercer VMIF3S0 1
en en SP 1
forma forma NCFS000 0.987798
exclusiva exclusivo AQ0FS00 0.708333
las el DA0FP0 0.988184
facultades facultad NCFP000 1
que que PR0CN00 0.550139
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
y y CC 0.999989
las el DA0FP0 0.988184
leyes ley NCFP000 1
establecen establecer VMIP3P0 1
para para SP 0.999834
la el DA0FS0 0.98926
Comisión_Federal_de_Competencia_Económica comisión_federal_de_competencia_económica NP00000 1
y y CC 0.999989
regulará regular VMIF3S0 1
de de SP 0.999961
forma forma NCFS000 0.987798
asimétrica asimétrico AQ0FS00 1
a a SP 0.998775
los el DA0MP0 0.992728
participantes participante NCCP000 0.983871
en en SP 1
estos este DD0MP0 0.972009
mercados mercado NCMP000 0.997512
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
eliminar eliminar VMN0000 1
eficazmente eficazmente RG 1
las el DA0FP0 0.988184
barreras barrera NCFP000 1
a a SP 0.998775
la el DA0FS0 0.98926
competencia competencia NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
; ; Fx 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
, , Fc 1
a_través_de a_través_de SP 1
su su DP3CSN 1
órgano órgano NCMS000 1
máximo máximo AQ0MS00 0.863176
de de SP 0.999961
gobierno gobierno NCMS000 0.989726
, , Fc 1
resulta resultar VMIP3S0 0.993808
competente competente AQ0CS00 1
para para SP 0.999834
conocer conocer VMN0000 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
asunto asunto NCMS000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
estar estar VMN0000 0.999154
facultado facultar VMP00SM 1
para para SP 0.999834
emitir emitir VMN0000 1
disposiciones disposición NCFP000 1
administrativas administrativo AQ0FP00 0.983871
de de SP 0.999961
carácter carácter NCMS000 1
general general AQ0CS00 0.826212
, , Fc 1
planes plan NCMP000 1
técnicos técnico AQ0MP00 0.287234
fundamentales fundamental AQ0CP00 0.992958
, , Fc 1
lineamientos lineamiento NCMP000 1
, , Fc 1
modelos modelo NCCP000 1
de de SP 0.999961
costos costo NCMP000 1
, , Fc 1
procedimientos procedimiento NCMP000 1
de de SP 0.999961
evaluación evaluación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
conformidad conformidad NCFS000 1
, , Fc 1
procedimientos procedimiento NCMP000 1
de de SP 0.999961
homologación homologación NCFS000 1
y y CC 0.999989
certificación certificación NCFS000 1
y y CC 0.999989
ordenamientos ordenamiento NCMP000 1
técnicos técnico AQ0MP00 0.287234
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
137 137 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
LFTR lftr NP00000 1
determina determinar VMIP3S0 0.989241
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
publicará publicar VMIF3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
en en SP 1
el el DA0MS0 1
último último AO0MS00 1
trimestre trimestre NCMS000 0.936047
de de SP 1
el el DA0MS0 1
año año NCMS000 1
, , Fc 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
y y CC 0.999989
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
hayan haber VASP3P0 0.994792
resultado resultar VMP00SM 0.0751232
de de SP 0.999961
las el DA0FP0 0.988184
metodologías metodología NCFP000 1
de de SP 0.999961
costos costo NCMP000 1
emitidas emitir VMP00PF 1
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
mismas mismo AQ0FP00 0.995495
que que PR0CN00 0.550139
estarán estar VMIF3P0 0.994505
vigentes vigente AQ0CP00 1
durante durante SP 1
el el DA0MS0 1
año año NCMS000 1
calendario calendario NCMS000 1
inmediato inmediato AQ0MS00 1
siguiente siguiente AQ0CS00 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Condiciones condición NCFP000 0.99684
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
para para SP 0.999834
los el DA0MP0 0.992728
Servicios_de_Interconexión servicios_de_interconexión NP00000 1
. . Fp 1

En_materia_de en_materia_de SP 1
acceso acceso NCMS000 1
e y CC 0.987994
interconexión interconexión NCFS000 1
, , Fc 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
segundo 2 AO0MS00 0.901147
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
124 124 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
elaborará elaborar VMIF3S0 1
, , Fc 1
actualizará actualizar VMIF3S0 1
y y CC 0.999989
administrará administrar VMIF3S0 1
los el DA0MP0 0.992728
planes plan NCMP000 1
técnicos técnico AQ0MP00 0.287234
fundamentales fundamental AQ0CP00 0.992958
de de SP 0.999961
numeración numeración NCFS000 1
, , Fc 1
conmutación conmutación NCFS000 1
, , Fc 1
señalización señalización NCFS000 1
, , Fc 1
transmisión transmisión NCFS000 1
, , Fc 1
tasación tasación NCFS000 1
, , Fc 1
sincronización sincronización NCFS000 1
e y CC 0.987994
interconexión interconexión NCFS000 1
, , Fc 1
entre entre SP 0.980341
otros otro PI0MP00 0.254022
, , Fc 1
a a SP 0.998775
los el DA0MP0 0.992728
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
sujetar sujetar VMN0000 1
se se PP3CN00 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Dichos decir VMP00PM 0.953488
planes plan NCMP000 1
deberán deber VMIF3P0 1
considerar considerar VMN0000 1
los el DA0MP0 0.992728
intereses interés NCMP000 0.99763
de de SP 0.999961
los el DA0MP0 0.992728
usuarios usuario NCMP000 0.78169
y y CC 0.999989
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
prevaleciendo prevalecer VMG0000 1
los el DA0MP0 0.992728
de de SP 0.999961
los el DA0MP0 0.992728
primeros 1 AO0MP00 1
y y CC 0.999989
podrán poder VMIF3P0 1
tomar tomar VMN0000 1
en en SP 1
cuenta contar VMIP3S0 0.768585
las el DA0FP0 0.988184
recomendaciones recomendación NCFP000 1
y y CC 0.999989
mejores mejor AQ0CP00 0.997685
prácticas práctica NCFP000 0.685185
internacionales internacional AQ0CP00 0.948505
teniendo tener VMG0000 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
el el DA0MS0 1
objetivo objetivo NCMS000 0.972603
de de SP 0.999961
definir definir VMN0000 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
necesarias necesario AQ0FP00 1
para para SP 0.999834
que que CS 0.449861
la el DA0FS0 0.98926
interoperabilidad interoperabilidad NCFS000 1
e y CC 0.987994
interconexión interconexión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
se se P00CN00 0.494509
dé dar VMSP3S0 0.498099
de de SP 0.999961
manera manera NCFS000 1
eficiente eficiente AQ0CS00 1
, , Fc 1
cumpliendo cumplir VMG0000 1
con con SP 1
los el DA0MP0 0.992728
estándares estándar NCMP000 0.638706
de de SP 0.999961
calidad calidad NCFS000 1
que que PR0CN00 0.550139
determine determinar VMSP3S0 0.634863
el el DA0MS0 1
Instituto instituto NP00000 1
. . Fp 1

Las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
deberán deber VMIF3P0 1
considerar considerar VMN0000 1
la el DA0FS0 0.98926
descripción descripción NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
mismos mismo PI0MP00 0.47076
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
apegar apegar VMN0000 1
se se PP3CN00 1
a a SP 0.998775
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
aplicables aplicable AQ0CP00 1
; ; Fx 1
así_como así_como CC 1
sus su DP3CPN 0.999903
características característica NCFP000 0.994792
técnicas técnico AQ0FP00 0.300493
y y CC 0.999989
capacidades capacidad NCFP000 1
. . Fp 1

Es ser VSIP3S0 1
así así RG 0.999409
que que PR0CN00 0.550139
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
133 133 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
, , Fc 1
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
señalados señalar VMP00PM 1
en en SP 1
las el DA0FP0 0.988184
fracciones fracción NCFP000 0.998103
I i NP00000 1
a a SP 0.998775
IV iv NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
127 127 Z 1
serán ser VSIF3P0 1
obligatorios obligatorio AQ0MP00 0.492514
para para SP 0.999834
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
mientras_que mientras_que CS 1
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 1
el el DA0MS0 1
mencionado mencionar VMP00SM 1
artículo artículo NCMS000 1
será ser VSIF3S0 1
obligatoria obligatorio AQ0FS00 0.661294
para para SP 0.999834
el el DA0MS0 1
agente agente NCCS000 0.993421
económico económico AQ0MS00 1
preponderante preponderante AQ0CS00 1
, , Fc 1
así_como así_como CC 1
para para SP 0.999834
el el DA0MS0 1
resto resto NCMS000 0.998634
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
únicamente únicamente RG 1
cuando cuando CS 0.86298
se se P00CN00 0.494509
actualice actualizar VMSP3S0 0.574873
la el DA0FS0 0.98926
hipótesis hipótesis NCFN000 1
de de SP 0.999961
no no RN 0.999297
discriminación discriminación NCFS000 1
establecida establecer VMP00SF 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
125 125 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
LFTR lftr NP00000 1
. . Fp 1

Los el DA0MP0 0.992728
servicios servicio NCMP000 1
establecidos establecer VMP00PM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
127 127 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
efecto efecto NCMS000 1
