RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_LA_VOZ_DE_LA_MIXTECA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_la_voz_de_la_mixteca NP00000 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
aprueba aprobar VMIP3S0 0.989241
y y CC 0.999989
emite emitir VMIP3S0 0.989238
los el DA0MP0 0.992728
Lineamientos_Generales lineamientos_generales NP00000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
título título NCMS000 1
cuarto 4 AO0MS00 0.651877
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
” ” Frc 1
( ( Fpa 1
los el DA0MP0 0.992728
“ “ Fra 1
Lineamientos lineamiento NCMP000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud_de_Concesión solicitud_de_concesión NP00000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
comunitaria comunitario AQ0FS00 1
. . Fp 1

Mediante mediante SP 0.99763
solicitud solicitud NCFS000 1
presentada presentar VMP00SF 1
el el DA0MS0 1
17_de_noviembre_de_2015 [??:17/11/2015:??.??:??] W 1
, , Fc 1
LA_VOZ_DE_LA_MIXTECA la_voz_de_la_mixteca NP00000 1
, , Fc 1
A.C. a.c. NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
solicitante solicitante NCCS000 0.97619
” ” Frc 1
) ) Fpt 1
formuló formular VMIS3S0 1
por por SP 1
conducto conducto NCMS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
una uno DI0FS0 0.951973
solicitud solicitud NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
obtención obtención NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
comunitaria comunitario AQ0FS00 1
, , Fc 1
en en SP 1
las el DA0FP0 0.988184
localidades localidad NCFP000 1
de de SP 0.999961
Santiago_Juxtlahuaca santiago_juxtlahuaca NP00000 1
como como CS 0.967153
población población NCFS000 1
principal principal AQ0CS00 0.984551
a a SP 0.998775
servir servir VMN0000 1
, , Fc 1
así_como así_como CC 1
en en SP 1
las el DA0FP0 0.988184
localidades localidad NCFP000 1
de de SP 0.999961
San_Sebastián_Tecomaxtlahuaca san_sebastián_tecomaxtlahuaca NP00000 1
y y CC 0.999989
Silacayoapan silacayoapan NP00000 1
, , Fc 1
todas todo PI0FP00 0.0659269
en en SP 1
el el DA0MS0 1
estado estado NCMS000 0.647596
de de SP 0.999961
Oaxaca oaxaca NP00000 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
mediante mediante SP 0.99763
el el DA0MS0 1
uso uso NCMS000 0.998047
y y CC 0.999989
aprovechamiento aprovechamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
98.3 98.3 Z 1
MHz mhz NP00000 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
Frecuencia_Modulada_FM frecuencia_modulada_fm NP00000 1
publicada publicar VMP00SF 1
en en SP 1
el el DA0MS0 1
Programa_Anual programa_anual NP00000 1
2015 2015 Z 1
( ( Fpa 1
“ “ Fra 1
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Requerimiento requerimiento NCMS000 0.668984
de de SP 0.999961
información información NCFS000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CRAD/4446/2016 IFT/223/UCS/DG-CRAD/4446/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
1_de_diciembre_de_2015 [??:1/12/2015:??.??:??] W 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
formuló formular VMIS3S0 1
requerimiento requerimiento NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
fue ser VSIS3S0 0.980739
atendido atender VMP00SM 1
mediante mediante SP 0.99763
escrito escrito NCMS000 0.466887
presentado presentar VMP00SM 1
ante ante SP 0.999744
la el DA0FS0 0.98926
oficialía oficialía NCFS000 1
de de SP 0.999961
partes parte NCCP000 0.997076
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
con con SP 1
fecha fecha NCFS000 0.990741
20_de_enero_de_2016 [??:20/1/2016:??.??:??] W 1
, , Fc 1
integrando integrar VMG0000 0.813333
con con SP 1
ello ello PD00S00 1
en en SP 1
su su DP3CSN 1
totalidad totalidad NCFS000 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
para para SP 0.999834
uso uso NCMS000 0.998047
social social AQ0CS00 0.998783
comunitaria comunitario AQ0FS00 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/496/2016 IFT/223/UCS/496/2016 Z 1
notificado notificar VMP00SM 1
en en SP 1
fecha fecha NCFS000 0.990741
18_de_marzo_de_2016 [??:18/3/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
la el DA0FS0 0.98926
emisión emisión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refieren referir VMIP3P0 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
28 28 Z 1
párrafo párrafo NCMS000 1
décimo décimo NCMS000 0.392601
séptimo 7 AO0MS00 0.991803
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
y y CC 0.999989
9 9 Z 1
fracción fracción NCFS000 1
I_de_la_Ley_Federal_de_Telecomunicaciones i_de_la_ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Ley ley NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
, , Fc 1
relativa relativo AQ0FS00 1
a a SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
. . Fp 1

Opinión opinión NP00000 0.331016
técnica técnica NCFS000 0.352601
de de SP 0.999961
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
2.1.-373/2016 2.1.-373/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
19_de_mayo_de_2016 [??:19/5/2016:??.??:??] W 1
suscrito suscribir VMP00SM 1
por por SP 1
el el DA0MS0 1
titular titular NCCS000 0.820663
de de SP 0.999961
la el DA0FS0 0.98926
Dirección_General_de_Política_de_Telecomunicaciones dirección_general_de_política_de_telecomunicaciones NP00000 1
y y CC 0.999989
de de SP 0.999961
Radiodifusión radiodifusión NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
remitió remitir VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones_de_Servicios_de_el_Instituto unidad_de_concesiones_de_servicios_de_el_instituto NP00000 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
1.-092 1.-092 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
fecha fecha NCFS000 0.990741
que que PR0CN00 0.550139
contiene contener VMIP3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
antecedente antecedente NCMS000 0.588567
VIII viii NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
resolución resolución NCFS000 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
análisis análisis NCMN000 1
y y CC 0.999989
factibilidad factibilidad NCFS000 1
de de SP 0.999961
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
. . Fp 1

Por por SP 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CRAD/1565/2016 IFT/223/UCS/DG-CRAD/1565/2016 Z 1
notificado notificar VMP00SM 1
en en SP 1
fecha fecha NCFS000 0.990741
7_de_junio_de_2016 [??:7/6/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
llevara_a_cabo llevar_a_cabo VMSI3S0 0.503897
el el DA0MS0 1
análisis análisis NCMN000 1
de de SP 0.999961
10 10 Z 1
solicitudes solicitud NCFP000 1
de de SP 0.999961
concesión concesión NCFS000 1
social social AQ0CS00 0.998783
comunitaria comunitario AQ0FS00 1
para para SP 0.999834
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
, , Fc 1
mismas mismo AQ0FP00 0.995495
que que PR0CN00 0.550139
concurren concurrir VMIP3P0 1
con con SP 1
dos 2 Z 0.999868
o o CC 0.999864
más más RG 0.99993
solicitudes solicitud NCFP000 1
para para SP 0.999834
obtener obtener VMN0000 1
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
frecuencias frecuencia NCFP000 1
en en SP 1
las el DA0FP0 0.988184
mismas mismo AQ0FP00 0.995495
localidades localidad NCFP000 1
publicadas publicar VMP00PF 1
en en SP 1
el el DA0MS0 1
Programa_Anual_de_Bandas_de_Frecuencias programa_anual_de_bandas_de_frecuencias NP00000 1
2015 2015 Z 1
, , Fc 1
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
determinar determinar VMN0000 1
la el DA0FS0 0.98926
viabilidad viabilidad NCFS000 1
de de SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
dentro_de dentro_de SP 1
el el DA0MS0 1
segmento segmento NCMS000 0.989726
de_reserva de_reserva RG 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
. . Fp 1

Dictamen dictamen NCMS000 0.668984
de de SP 0.999961
disponibilidad disponibilidad NCFS000 1
espectral espectral AQ0CS00 1
para para SP 0.999834
el el DA0MS0 1
segmento segmento NCMS000 0.989726
de_reserva de_reserva RG 1
de de SP 0.999961
106 106 Z 1
a a SP 0.998775
108 108 Z 1
MHz mhz NP00000 1
en en SP 1
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/222/UER/DG-IEET/1937/2016 IFT/222/UER/DG-IEET/1937/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
29_de_noviembre_de_2016 [??:29/11/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
emitió emitir VMIS3S0 1
el el DA0MS0 1
dictamen dictamen NCMS000 1
correspondiente correspondiente AQ0CS00 0.993421
para para SP 0.999834
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
mérito mérito NCMS000 1
, , Fc 1
estableciendo establecer VMG0000 1
que que CS 0.449861
, , Fc 1
para para SP 0.999834
las el DA0FP0 0.988184
localidades localidad NCFP000 1
de de SP 0.999961
San_Sebastián_Tecomaxtlahuaca san_sebastián_tecomaxtlahuaca NP00000 1
, , Fc 1
Santiago_Juxtlahuaca santiago_juxtlahuaca NP00000 1
, , Fc 1
Silacayoapan silacayoapan NP00000 1
, , Fc 1
Santa_Catarina_Noltepec santa_catarina_noltepec NP00000 1
, , Fc 1
Tacuýa tacuýa NP00000 1
, , Fc 1
Nicán nicán NP00000 1
y y CC 0.999989
San_Miguel_de_Cuevas san_miguel_de_cuevas NP00000 1
en en SP 1
el el DA0MS0 1
estado estado NCMS000 0.647596
de de SP 0.999961
Oaxaca oaxaca NP00000 1
, , Fc 1
son ser VSIP3P0 0.995197
factibles factible AQ0CP00 1
de de SP 0.999961
asignación asignación NCFS000 1
dos 2 Z 0.999868
frecuencias frecuencia NCFP000 1
en en SP 1
el el DA0MS0 1
segmento segmento NCMS000 0.989726
de_reserva de_reserva RG 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
opinión opinión NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Medios unidad_de_medios NP00000 1
y y CC 0.999989
Contenidos_Audiovisuales contenidos_audiovisuales NP00000 1
. . Fp 1

Por por SP 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/1008/2016 IFT/223/UCS/1008/2016 Z 1
notificado notificar VMP00SM 1
en en SP 1
fecha fecha NCFS000 0.990741
29_de_junio_de_2016 [??:29/6/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Medios unidad_de_medios NP00000 1
y y CC 0.999989
Contenidos_Audiovisuales contenidos_audiovisuales NP00000 1
su su DP3CSN 1
opinión opinión NCFS000 1
en en SP 1
relación relación NCFS000 1
con con SP 1
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

Opinión_de_la_Unidad_de_Medios opinión_de_la_unidad_de_medios NP00000 1
y y CC 0.999989
Contenidos_Audiovisuales contenidos_audiovisuales NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/224/UMCA/421/2016 IFT/224/UMCA/421/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
6_de_julio_de_2016 [??:6/7/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Medios unidad_de_medios NP00000 1
y y CC 0.999989
Contenidos_Audiovisuales contenidos_audiovisuales NP00000 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
para para SP 0.999834
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
mérito mérito NCMS000 1
. . Fp 1

Manifestaciones manifestaciones NP00000 0.331016
en_materia_de en_materia_de SP 1
Competencia_de_Económica competencia_de_económica NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
escrito escrito NCMS000 0.466887
de de SP 0.999961
fecha fecha NCFS000 0.990741
21_de_mayo_de_2016 [??:21/5/2016:??.??:??] W 1
, , Fc 1
presentado presentar VMP00SM 1
el el DA0MS0 1
1_de_junio_de_2016 [??:1/6/2016:??.??:??] W 1
ante ante SP 0.999744
la el DA0FS0 0.98926
oficialía oficialía NCFS000 1
de de SP 0.999961
partes parte NCCP000 0.997076
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
realizó realizar VMIS3S0 1
diversas diverso DI0FP0 0.805344
manifestaciones manifestación NCFP000 1
bajo bajo SP 0.909179
protesta protesta NCFS000 0.969466
de de SP 0.999961
decir decir VMN0000 0.998575
verdad verdad NCFS000 1
en en SP 1
el el DA0MS0 1
sentido sentido NCMS000 0.940835
que que PR0CN00 0.550139
se se P00CN00 0.494509
indica indicar VMIP3S0 0.995495
en en SP 1
el el DA0MS0 1
Considerando_TERCERO_de_la_Presente_Resolución considerando_tercero_de_la_presente_resolución NP00000 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
los el DA0MP0 0.992728
Antecedentes antecedentes NP00000 1
referidos referir VMP00PM 1
y y CC 0.999989
, , Fc 1
CONSIDERANDO_PRIMERO considerando_primero NP00000 1
. . Fp 1
- - Fg 1
Ámbito_Competencial ámbito_competencial NP00000 1
. . Fp 1

Conforme conforme RG 0.0988037
lo lo PP3MSA0 0.334764
dispone disponer VMIP3S0 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
párrafo párrafo NCMS000 1
décimo 10 AO0MS00 0.607399
quinto quinto NCMS000 0.264249
de de SP 0.999961
