RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_MEGA_CABLE resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_mega_cable NP00000 1
Sistema_Electrónico_de_Solicitudes_de_Interconexión sistema_electrónico_de_solicitudes_de_interconexión NP00000 1
. . Fp 1

El el DA0MS0 1
29_de_diciembre_de_2014 [??:29/12/2014:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
establece establecer VMIP3S0 0.992424
el el DA0MS0 1
Sistema_Electrónico_de_Solicitudes_de_Interconexión sistema_electrónico_de_solicitudes_de_interconexión NP00000 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo_de_el_Sistema acuerdo_de_el_sistema NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
estableció establecer VMIS3S0 1
el el DA0MS0 1
Sistema_Electrónico_de_Solicitudes_de_Interconexión sistema_electrónico_de_solicitudes_de_interconexión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
SESI sesi NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Procedimiento procedimiento NCMS000 0.668984
de de SP 0.999961
resolución resolución NCFS000 1
de de SP 0.999961
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
. . Fp 1

El el DA0MS0 1
7_de_noviembre_de_2017 [??:7/11/2017:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
de de SP 0.999961
Mega_Cable mega_cable NP00000 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
escrito escribir VMP00SM 0.533113
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
solicitó solicitar VMIS3S0 1
su su DP3CSN 1
intervención intervención NCFS000 1
para para SP 0.999834
resolver resolver VMN0000 1
los el DA0MP0 0.992728
términos término NCMP000 1
, , Fc 1
tarifas tarifa NCFP000 0.992958
y y CC 0.999989
condiciones condición NCFP000 0.998418
que que PR0CN00 0.550139
no no RN 0.999297
pudo poder VMIS3S0 1
convenir convenir VMN0000 1
con con SP 1
Grupo_AT_&_T grupo_at_&_t NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
respectivas respectivo AQ0FP00 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
aplicables aplicable AQ0CP00 1
de de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_diciembre_de_2018 [??:31/12/2018:??.??:??] W 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud_de_Resolución solicitud_de_resolución NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

La el DA0FS0 0.98926
Solicitud_de_Resolución solicitud_de_resolución NP00000 1
se se P00CN00 0.494509
admitió admitir VMIS3S0 1
a a SP 0.998775
trámite trámite NCMS000 1
asignando asignar VMG0000 1
le le PP3CSD0 1
el el DA0MS0 1
número número NCMS000 1
de de SP 0.999961
expediente expediente NCMS000 0.982759
IFT/221/UPR/DG-RIRST/191.071117/ITX IFT/221/UPR/DG-RIRST/191.071117/ITX Z 1
. . Fp 1

El el DA0MS0 1
procedimiento procedimiento NCMS000 1
fue ser VSIS3S0 0.980739
sustanciado sustanciar VMP00SM 1
en en SP 1
todas todo DI0FP0 0.934073
y y CC 0.999989
cada cada DI0CS0 1
una uno PI0FS00 0.0420733
de de SP 0.999961
sus su DP3CPN 0.999903
etapas etapa NCFP000 1
en en SP 1
estricto estricto AQ0MS00 1
apego apego NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
LFTR lftr NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
documentado documentar VMP00SM 1
en en SP 1
las el DA0FP0 0.988184
constancias constancia NCFP000 1
que que PR0CN00 0.550139
integran integrar VMIP3P0 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
administrativo administrativo AQ0MS00 0.661294
en en SP 1
comento comento NCMS000 0.987779
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
ha haber VAIP3S0 0.999889
estado estar VMP00SM 0.346619
en en SP 1
todo todo DI0MS0 0.6662
momento momento NCMS000 1
a a SP 0.998775
disposición disposición NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
, , Fc 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
tienen tener VMIP3P0 1
pleno pleno AQ0MS00 0.375776
conocimiento conocimiento NCMS000 1
de de SP 0.999961
su su DP3CSN 1
contenido contenido NCMS000 0.993421
. . Fp 1

Es ser VSIP3S0 1
así así RG 0.999409
que que CS 0.449861
con con SP 1
fecha fecha NCFS000 0.990741
01_de_febrero_de_2018 [??:1/2/2018:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
notificó notificar VMIS3S0 1
a a SP 0.998775
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
, , Fc 1
respectivamente respectivamente RG 1
, , Fc 1
que que CS 0.449861
el el DA0MS0 1
procedimiento procedimiento NCMS000 1
guardaba guardar VMII3S0 0.65
estado estar VMP00SM 0.346619
para para SP 0.999834
que que CS 0.449861
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
dictase dictar VMSI3S0 0.634863
la el DA0FS0 0.98926
resolución resolución NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

Publicación_de_las_Condiciones_Técnicas_Mínimas publicación_de_las_condiciones_técnicas_mínimas NP00000 1
y y CC 0.999989
las el DA0FP0 0.988184
Tarifas_de_Interconexión tarifas_de_interconexión NP00000 1
para para SP 0.999834
el el DA0MS0 1
año_2018 [??:??/??/2018:??.??:??] W 1
. . Fp 1

El el DA0MS0 1
9_de_noviembre_de_2017 [??:9/11/2017:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
establece establecer VMIP3S0 0.992424
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
técnicas técnico AQ0FP00 0.300493
mínimas mínimo AQ0FP00 0.986111
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
estarán estar VMIF3P0 0.994505
vigentes vigente AQ0CP00 1
de de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_diciembre_de_2018 [??:31/12/2018:??.??:??] W 1
. . Fp 1
” ” Frc 1
, , Fc 1
aprobado aprobar VMP00SM 0.958015
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/021117/657 P/IFT/021117/657 Z 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo_de_CTM acuerdo_de_ctm NP00000 1
y y CC 0.999989
Tarifas tarifas NP00000 1
2018 2018 Z 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
los el DA0MP0 0.992728
referidos referir VMP00PM 1
Antecedentes antecedentes NP00000 1
, , Fc 1
y y CC 0.999989
CONSIDERANDO_PRIMERO considerando_primero NP00000 1
. . Fp 1
- - Fg 1
Competencia_de_el_Instituto competencia_de_el_instituto NP00000 1
. . Fp 1

De de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6 6 Z 1
, , Fc 1
apartado apartar VMP00SM 0.336957
B b NP00000 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
28 28 Z 1
, , Fc 1
párrafos párrafo NCMP000 1
décimo décimo NCMS000 0.392601
quinto 5 AO0MS00 0.73057
y y CC 0.999989
décimo 10 AO0MS00 0.607399
sexto sexto NCMS000 0.0121951
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Constitución constitución NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
y y CC 0.999989
7 7 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
; ; Fx 1
el el DA0MS0 1
Instituto instituto NP00000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
público público AQ0MS00 0.409696
autónomo autónomo AQ0MS00 0.980769
, , Fc 1
independiente independiente AQ0CS00 1
en en SP 1
sus su DP3CPN 0.999903
decisiones decisión NCFP000 1
y y CC 0.999989
funcionamiento funcionamiento NCMS000 1
, , Fc 1
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
, , Fc 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
regular regular AQ0CS00 0.5
y y CC 0.999989
promover promover VMN0000 1
la el DA0FS0 0.98926
competencia competencia NCFS000 1
y y CC 0.999989
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
en en SP 1
el el DA0MS0 1
ámbito ámbito NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
atribuciones atribución NCFP000 1
que que PR0CN00 0.550139
le le PP3CSD0 1
confiere conferir VMIP3S0 0.989239
la el DA0FS0 0.98926
Constitución constitución NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
que que PR0CN00 0.550139
fijan fijar VMIP3P0 1
la el DA0FS0 0.98926
LFTR lftr NP00000 1
y y CC 0.999989
demás demás DI0CP0 0.280093
disposiciones disposición NCFP000 1
aplicables aplicable AQ0CP00 1
. . Fp 1

Con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
7 7 Z 1
, , Fc 1
15 15 Z 1
, , Fc 1
fracción fracción NCFS000 1
X x NP00000 1
, , Fc 1
17 17 Z 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
y y CC 0.999989
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
está estar VMIP3S0 0.999398
facultado facultar VMP00SM 1
, , Fc 1
de de SP 0.999961
manera manera NCFS000 1
exclusiva exclusivo AQ0FS00 0.708333
e y CC 0.987994
indelegable indelegable AQ0CS00 1
, , Fc 1
para para SP 0.999834
resolver resolver VMN0000 1
y y CC 0.999989
establecer establecer VMN0000 1
los el DA0MP0 0.992728
términos término NCMP000 1
, , Fc 1
condiciones condición NCFP000 0.998418
y y CC 0.999989
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
no no RN 0.999297
hayan haber VASP3P0 0.994792
podido poder VMP00SM 1
convenir convenir VMN0000 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
respecto_de respecto_de SP 1
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
una_vez_que una_vez_que CS 1
se se P00CN00 0.494509
solicite solicitar VMSP3S0 0.634863
su su DP3CSN 1
intervención intervención NCFS000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
y y CC 0.999989
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
indicados indicar VMP00PM 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
es ser VSIP3S0 1
competente competente AQ0CS00 1
para para SP 0.999834
emitir emitir VMN0000 1
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
que que PR0CN00 0.550139
determina determinar VMIP3S0 0.989241
los el DA0MP0 0.992728
términos término NCMP000 1
, , Fc 1
condiciones condición NCFP000 0.998418
y y CC 0.999989
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
entre entre SP 0.980341
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
de de SP 0.999961
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
que que PR0CN00 0.550139
forman_parte formar_parte VMIP3P0 1
en en SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
procedimiento procedimiento NCMS000 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Importancia importancia NCFS000 0.668984
y y CC 0.999989
obligatoriedad obligatoriedad NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
e y CC 0.987994
Interés_Público interés_público NP00000 1
. . Fp 1
- - Fg 1
El el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
, , Fc 1
apartado apartar VMP00SM 0.336957
B b NP00000 1
, , Fc 1
fracción fracción NCFS000 1
II_de_la_Constitución ii_de_la_constitución NP00000 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
son ser VSIP3P0 0.995197
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
interés interés NCMS000 1
general general AQ0CS00 0.826212
, , Fc 1
y y CC 0.999989
es ser VSIP3S0 1
el el DA0MS0 1
deber deber NCMS000 0.880435
de de SP 1
el el DA0MS0 1
Estado estado NP00000 1
garantizar garantizar VMN0000 1
que que CS 0.449861
se se P00CN00 0.494509
presten prestar VMSP3P0 0.941964
en en SP 1
condiciones condición NCFP000 0.998418
de de SP 0.999961
competencia competencia NCFS000 1
, , Fc 1
calidad calidad NCFS000 1
, , Fc 1
pluralidad pluralidad NCFS000 1
, , Fc 1
cobertura cobertura NCFS000 1
universal universal AQ0CS00 0.98913
, , Fc 1
interconexión interconexión NCFS000 1
, , Fc 1
convergencia convergencia NCFS000 1
, , Fc 1
continuidad continuidad NCFS000 1
, , Fc 1
acceso acceso NCMS000 1
libre libre AQ0CS00 0.957522
y y CC 0.999989
sin sin SP 1
injerencias injerencia NCFP000 1
arbitrarias arbitrario AQ0FP00 1
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
el el DA0MS0 1
artículo artículo NCMS000 1
2 2 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
, , Fc 1
en en SP 1
concordancia concordancia NCFS000 1
con con SP 1
la el DA0FS0 0.98926
Constitución constitución NP00000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
son ser VSIP3P0 0.995197
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
interés interés NCMS000 1
general general AQ0CS00 0.826212
; ; Fx 1
y y CC 0.999989
que que PR0CN00 0.550139
corresponde corresponder VMIP3S0 0.996183
a a SP 1
el el DA0MS0 1
Estado estado NP00000 1
ejercer ejercer VMN0000 1
la el DA0FS0 0.98926
rectoría rectoría NCFS000 1
en en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
, , Fc 1
proteger proteger VMN0000 1
la el DA0FS0 0.98926
seguridad seguridad NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
soberanía soberanía NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Nación nación NP00000 1
y y CC 0.999989
garantizar garantizar VMN0000 1
su su DP3CSN 1
eficiente eficiente AQ0CS00 1
prestación prestación NCFS000 1
. . Fp 1

Para para SP 0.999834
tales tal DD0CP0 0.742331
efectos efecto NCMP000 1
el el DA0MS0 1
Instituto instituto NP00000 1
establecerá establecer VMIF3S0 1
condiciones condición NCFP000 0.998418
de de SP 0.999961
competencia competencia NCFS000 1
efectiva efectivo AQ0FS00 1
en en SP 1
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
dichos decir VMP00PM 0.97619
servicios servicio NCMP000 1
en en SP 1
términos término NCMP000 1
de de SP 0.999961
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
7º 7º Z 1
, , Fc 1
124 124 Z 1
y y CC 0.999989
125 125 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTR lftr NP00000 1
. . Fp 1

Por por SP 1
ello ello PD00S00 1
, , Fc 1
el el DA0MS0 1
legislador legislador NCMS000 0.97619
estableció establecer VMIS3S0 1
( ( Fpa 1
i i NCFS000 1
) ) Fpt 1
la el DA0FS0 0.98926
obligación obligación NCFS000 1
de de SP 0.999961
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operan operar VMIP3P0 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
de de SP 0.999961
adoptar adoptar VMN0000 1
diseños diseño NCMP000 1
de de SP 0.999961
arquitectura arquitectura NCFS000 1
abierta abrir VMP00SF 1
para para SP 0.999834
garantizar garantizar VMN0000 1
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
e y CC 0.987994
interoperabilidad interoperabilidad NCFS000 1
