RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_EL_ORGANISMO_PROMOTOR_DE_INVERSIONES_EN_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_el_organismo_promotor_de_inversiones_en_telecomunicaciones NP00000 1
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
, , Fc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
” ” Frc 1
) ) Fpt 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
creó crear VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
, , Fc 1
como como CS 0.967153
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

Decreto_de_Ley decreto_de_ley NP00000 1
. . Fp 1

El el DA0MS0 1
14_de_julio_de_2014 [??:14/7/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expiden expedir VMIP3P0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
y y CC 0.999989
la el DA0FS0 0.98926
Ley_de_el_Sistema_Público_de_Radiodifusión_de_el_Estado_Mexicano ley_de_el_sistema_público_de_radiodifusión_de_el_estado_mexicano NP00000 1
; ; Fx 1
y y CC 0.999989
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
, , Fc 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
” ” Frc 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
13_de_agosto_de_2014 [??:13/8/2014:??.??:??] W 1
. . Fp 1

Estatuto_Orgánico estatuto_orgánico NP00000 1
. . Fp 1

El el DA0MS0 1
4_de_septiembre_de_2014 [??:4/9/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
26_de_septiembre_de_2014 [??:26/9/2014:??.??:??] W 1
, , Fc 1
y y CC 0.999989
fue ser VSIS3S0 0.980739
modificado modificar VMP00SM 1
por por SP 1
última último AO0FS00 1
vez vez NCFS000 1
el el DA0MS0 1
17_de_octubre_de_2016 [??:17/10/2016:??.??:??] W 1
. . Fp 1

Opinión_de_el_Instituto opinión_de_el_instituto NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/280116/4 P/IFT/EXT/280116/4 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
28_de_enero_de_2016 [??:28/1/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
“ “ Fra 1
RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_EMITE_OPINIÓN_RESPECTO_A_LA_INCORPORACIÓN_DE_MEDIDAS_PROTECTORAS_Y_PROMOTORAS_EN_MATERIA_DE_COMPETENCIA_ECONÓMICA_Y_LIBRE_CONCURRENCIA_QUE_DEBAN_INCLUIRSE_EN_LA_CONVOCATORIA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_emite_opinión_respecto_a_la_incorporación_de_medidas_protectoras_y_promotoras_en_materia_de_competencia_económica_y_libre_concurrencia_que_deban_incluirse_en_la_convocatoria NP00000 1
, , Fc 1
LAS_BASES_Y_SUS_ANEXOS_Y_DEMÁS_DOCUMENTOS_DE_EL_CONCURSO_INTERNACIONAL_NÚMERO las_bases_y_sus_anexos_y_demás_documentos_de_el_concurso_internacional_número NP00000 1
APP-009000896-E1 APP-009000896-E1 Z 1
/ / Fh 1
2016 2016 Z 1
, , Fc 1
CUYO_CONVOCANTE_ES_LA_SUBSECRETARÍA_DE_COMUNICACIONES_DE_LA_SECRETARÍA_DE_COMUNICACIONES_Y_TRANSPORTES cuyo_convocante_es_la_subsecretaría_de_comunicaciones_de_la_secretaría_de_comunicaciones_y_transportes NP00000 1
, , Fc 1
Y_EMITE_LOS_MODELOS_DE_TÍTULO_DE_CONCESIÓN_DE_BANDAS_DE_FRECUENCIAS_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_COMERCIAL_Y_DE_RED_COMPARTIDA_MAYORISTA_DE_SERVICIOS_DE_TELECOMUNICACIONES_PARA_EL_MISMO_USO y_emite_los_modelos_de_título_de_concesión_de_bandas_de_frecuencias_de_el_espectro_radioeléctrico_para_uso_comercial_y_de_red_compartida_mayorista_de_servicios_de_telecomunicaciones_para_el_mismo_uso NP00000 1
, , Fc 1
QUE_FORMARÁN_PARTE_DE_LOS_DOCUMENTOS_DE_REFERENCIA_DE_EL_CONCURSO_INTERNACIONAL_SEÑALADO que_formarán_parte_de_los_documentos_de_referencia_de_el_concurso_internacional_señalado NP00000 1
” ” Frc 1
. . Fp 1

Concurso concurso NCMS000 0.98374
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
. . Fp 1

El el DA0MS0 1
29_de_enero_de_2016 [??:29/1/2016:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
la el DA0FS0 0.98926
“ “ Fra 1
Convocatoria convocatoria NCFS000 0.98773
a a SP 0.998775
toda todo DI0FS0 0.984467
persona persona NCFS000 0.996683
física físico AQ0FS00 0.619632
o o CC 0.999864
moral moral AQ0CS00 0.519841
, , Fc 1
nacional nacional AQ0CS00 1
o o CC 0.999864
extranjera extranjero AQ0FS00 0.822581
, , Fc 1
a a SP 0.998775
participar participar VMN0000 1
en en SP 1
el el DA0MS0 1
concurso concurso NCMS000 0.991803
internacional internacional AQ0CS00 0.970532
número número NCMS000 1
APP-009000896-E1-2016 APP-009000896-E1-2016 Z 1
para para SP 0.999834
la el DA0FS0 0.98926
adjudicación adjudicación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
; ; Fx 1
en en SP 1
esa ese DD0FS0 0.964505
misma mismo AQ0FS00 0.81684
fecha fecha NCFS000 0.990741
se se P00CN00 0.494509
publicaron publicar VMIS3P0 1
en en SP 1
la el DA0FS0 0.98926
página página NCFS000 1
de de SP 0.999961
internet internet NCCN000 1
de de SP 0.999961
la el DA0FS0 0.98926
entidad entidad NCFS000 1
convocante convocante AQ0CS00 0.561286
y y CC 0.999989
en en SP 1
CompraNet compranet NP00000 1
las el DA0FP0 0.988184
“ “ Fra 1
BASES_DE_EL_CONCURSO_INTERNACIONAL_NÚMERO bases_de_el_concurso_internacional_número NP00000 1
APP-009000896-E1-2016 APP-009000896-E1-2016 Z 1
PARA_LA_ADJUDICACIÓN_DE_UN_PROYECTO_DE_ASOCIACIÓN_PÚBLICO-PRIVADA_CONFORME_A_LA_LEY_DE_ASOCIACIONES_PÚBLICO_PRIVADAS para_la_adjudicación_de_un_proyecto_de_asociación_público-privada_conforme_a_la_ley_de_asociaciones_público_privadas NP00000 1
, , Fc 1
PARA_LA_INSTALACIÓN_Y_OPERACIÓN_DE_LA_RED_PÚBLICA_COMPARTIDA_DE_TELECOMUNICACIONES_A_QUE_SE_REFIERE_EL_ARTÍCULO_DÉCIMO_SEXTO_TRANSITORIO_DE_EL_DECRETO_POR_EL_QUE_SE_REFORMAN_Y_ADICIONAN_DIVERSAS_DISPOSICIONES_DE_LOS_ARTÍCULOS para_la_instalación_y_operación_de_la_red_pública_compartida_de_telecomunicaciones_a_que_se_refiere_el_artículo_décimo_sexto_transitorio_de_el_decreto_por_el_que_se_reforman_y_adicionan_diversas_disposiciones_de_los_artículos NP00000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
Y y NP00000 1
105 105 Z 1
DE_LA_CONSTITUCIÓN_POLÍTICA_DE_LOS_ESTADOS_UNIDOS_MEXICANOS de_la_constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
EN_MATERIA_DE_TELECOMUNICACIONES en_materia_de_telecomunicaciones NP00000 1
, , Fc 1
PUBLICADO_EN_EL_DIARIO_OFICIAL_DE_LA_FEDERACIÓN_EL publicado_en_el_diario_oficial_de_la_federación_el NP00000 1
11_DE_JUNIO_DE_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
CONTEMPLANDO_EL_APROVECHAMIENTO_DE_LA_BANDA_DE_FRECUENCIAS_DE_EL_ESPECTRO_QUE_INCLUYE_LOS_SEGMENTOS_DE contemplando_el_aprovechamiento_de_la_banda_de_frecuencias_de_el_espectro_que_incluye_los_segmentos_de NP00000 1
703 703 Z 1
A a NP00000 1
748 748 Z 1
MHz_Y_DE mhz_y_de NP00000 1
758 758 Z 1
A a NP00000 1
803 803 Z 1
MHz mhz NP00000 1
, , Fc 1
CON_UN_TOTAL_DE con_un_total_de NP00000 1
90 90 Z 1
MHz_BAJO_LA_FIGURA_DE_ARRENDAMIENTO_Y_DE_UN_PAR_DE_HILOS_DE_FIBRA_ÓPTICA_DE_LA_RED_TRONCAL_REFERIDA_EN_EL_ARTÍCULO_DÉCIMO_QUINTO_TRANSITORIO_DE_EL_MISMO_DECRETO mhz_bajo_la_figura_de_arrendamiento_y_de_un_par_de_hilos_de_fibra_óptica_de_la_red_troncal_referida_en_el_artículo_décimo_quinto_transitorio_de_el_mismo_decreto NP00000 1
” ” Frc 1
( ( Fpa 1
las el DA0FP0 0.988184
“ “ Fra 1
Bases base NCCP000 0.986014
” ” Frc 1
) ) Fpt 1
. . Fp 1

Decreto decreto NCMS000 0.988439
de de SP 0.999961
creación creación NCFS000 1
de de SP 0.999961
PROMTEL promtel NP00000 1
. . Fp 1

El el DA0MS0 1
11_de_marzo_de_2016 [??:11/3/2016:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
crea creer VMSP3S0 0.469767
el el DA0MS0 1
Organismo_Promotor_de_Inversiones organismo_promotor_de_inversiones NP00000 1
en en SP 1
Telecomunicaciones telecomunicaciones NP00000 1
” ” Frc 1
( ( Fpa 1
“ “ Fra 1
PROMTEL promtel NP00000 1
” ” Frc 1
) ) Fpt 1
como como CS 0.967153
un uno DI0MS0 0.99698
organismo organismo NCMS000 1
descentralizado descentralizar VMP00SM 1
, , Fc 1
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propios propio AQ0MP00 0.956349
, , Fc 1
agrupado agrupar VMP00SM 1
en en SP 1
el el DA0MS0 1
sector sector NCMS000 1
coordinado coordinar VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
, , Fc 1
cuyo cuyo PR0MS00 1
objeto objeto NCMS000 0.996183
es ser VSIP3S0 1
realizar realizar VMN0000 1
las el DA0FP0 0.988184
acciones acción NCFP000 0.998534
tendientes tendientes AQ0CP00 0.729733
a a SP 0.998775
garantizar garantizar VMN0000 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
red red NCFS000 1
pública público AQ0FS00 1
compartida compartir VMP00SF 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
otras otro PI0FP00 0.134592
para para SP 0.999834
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
por por SP 1
sí sí RG 0.654652
, , Fc 1
a_través_de a_través_de SP 1
terceros tercero NCMP000 0.5
o o CC 0.999864
en en SP 1
asociación asociación NCFS000 1
público-privada público_privado AQ0FS00 1
, , Fc 1
de_acuerdo_con de_acuerdo_con SP 1
las el DA0FP0 0.988184
funciones función NCFP000 0.994186
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
artículo artículo NCMS000 1
3 3 Z 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
Decreto decreto NP00000 1
, , Fc 1
a_fin_de a_fin_de SP 1
impulsar impulsar VMN0000 1
el el DA0MS0 1
acceso acceso NCMS000 1
efectivo efectivo AQ0MS00 0.78169
de de SP 0.999961
la el DA0FS0 0.98926
población población NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
comunicación comunicación NCFS000 1
de de SP 0.999961
banda banda NCFS000 1
ancha ancho AQ0FS00 1
y y CC 0.999989
a a SP 0.998775
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Creación decreto_de_creación NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Precisiones precisiones NP00000 0.331016
a a SP 0.998775
los el DA0MP0 0.992728
modelos modelo NCCP000 1
de de SP 0.999961
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
en_materia_de en_materia_de SP 1
los el DA0MP0 0.992728
principios principio NCMP000 1
de de SP 0.999961
neutralidad neutralidad NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
competencia competencia NCFS000 1
en en SP 1
la el DA0FS0 0.98926
relación relación NCFS000 1
de de SP 1
el el DA0MS0 1
concesionario concesionario NCMS000 0.488737
con con SP 1
autoridades autoridad NCFP000 1
públicas público AQ0FP00 1
. . Fp 1

Mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/300316/12 P/IFT/EXT/300316/12 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
30_de_marzo_de_2016 [??:30/3/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
emitió emitir VMIS3S0 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_ELIMINA_LACONDICIÓN acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_elimina_lacondición NP00000 1
13 13 Z 1
DE_EL_MODELO_DE_CONCESIÓN_DE_ESPECTRO_Y_REALIZA_PRECISIONES_A_LA_CONDICIÓN de_el_modelo_de_concesión_de_espectro_y_realiza_precisiones_a_la_condición NP00000 1
18 18 Z 1
DE_EL_MODELO_DE_CONCESIÓN_MAYORISTA de_el_modelo_de_concesión_mayorista NP00000 1
, , Fc 1
QUE_FORMAN_PARTE_DE_LOS_DOCUMENTOS_DE_REFERENCIA_DE_EL_CONCURSO_INTERNACIONAL_NÚMERO que_forman_parte_de_los_documentos_de_referencia_de_el_concurso_internacional_número NP00000 1
APP-009000896-E1/2016 APP-009000896-E1/2016 Z 1
QUE_TIENE_POR_OBJETO_ADJUDICAR_UN_PROYECTO_DE_ASOCIACIÓN_PÚBLICO-PRIVADA_PARA_LA_INSTALACIÓN_Y_OPERACIÓN_DE_LA_RED_COMPARTIDA que_tiene_por_objeto_adjudicar_un_proyecto_de_asociación_público-privada_para_la_instalación_y_operación_de_la_red_compartida NP00000 1
” ” Frc 1
. . Fp 1

Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
12_de_diciembre_de_2016 [??:12/12/2016:??.??:??] W 1
, , Fc 1
PROMTEL promtel NP00000 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
, , Fc 1
aprovechar aprovechar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
rangos rango NCMP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
703-748 703-748 Z 1
MHz mhz NP00000 1
y y CC 0.999989
758-803 758-803 Z 1
MHz mhz NP00000 1
, , Fc 1
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
dar dar VMN0000 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
Décimo_Sexto_Transitorio_de_el_Decreto_de_Reforma_Constitucional décimo_sexto_transitorio_de_el_decreto_de_reforma_constitucional NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
los el DA0MP0 0.992728
Antecedentes antecedentes NP00000 1
referidos referir VMP00PM 1
y y CC 0.999989
, , Fc 1
CONSIDERANDO_Primero considerando_primero NP00000 1
. . Fp 1
- - Fg 1
Competencia competencia NP00000 0.331016
. . Fp 1

Conforme conforme RG 0.0988037
lo lo PP3MSA0 0.334764
dispone disponer VMIP3S0 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
párrafos párrafo NCMP000 1
décimo 10 AO0MS00 0.607399
quinto quinto NCMS000 0.264249
, , Fc 1
décimo décimo NCMS000 0.392601
sexto 6 AO0MS00 0.987805
y y CC 0.999989
décimo 10 AO0MS00 0.607399
séptimo 7 AO0MS00 0.991803
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
, , Fc 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
propia propio AQ0FS00 1
Constitución constitución NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
que que PR0CN00 0.550139
fijen fijar VMSP3P0 0.941964
las el DA0FP0 0.988184
leyes ley NCFP000 1
, , Fc 1
teniendo tener VMG0000 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
la el DA0FS0 0.98926
regulación regulación NCFS000 1
, , Fc 1
promoción promoción NCFS000 1
y y CC 0.999989
supervisión supervisión NCFS000 1
de de SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
las el DA0FP0 0.988184
redes red NCFP000 0.990196
y y CC 0.999989
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
de de SP 1
el el DA0MS0 1
acceso acceso NCMS000 1
a a SP 0.998775
infraestructura infraestructura NCFS000 1
activa activo AQ0FS00 0.992395
, , Fc 1
pasiva pasivo AQ0FS00 0.661244
y y CC 0.999989
otros otro DI0MP0 0.745978
insumos insumo NCMP000 1
esenciales esencial AQ0CP00 1
, , Fc 1
garantizando garantizar VMG0000 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
y y CC 0.999989
7o 7o Z 1
. . Fp 1
constitucionales constitucional AQ0CP00 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
es ser VSIP3S0 1
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
en en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
de de SP 0.999961
competencia competencia NCFS000 1
económica económico AQ0FS00 1
de de SP 0.999961
los el DA0MP0 0.992728
sectores sector NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
entre entre SP 0.980341
otros otro DI0MP0 0.745978
aspectos aspecto NCMP000 1
, , Fc 1
regulará regular VMIF3S0 1
de de SP 0.999961
forma forma NCFS000 0.987798
asimétrica asimétrico AQ0FS00 1
a a SP 0.998775
los el DA0MP0 0.992728
participantes participante NCCP000 0.983871
en en SP 1
estos este DD0MP0 0.972009
mercados mercado NCMP000 0.997512
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
eliminar eliminar VMN0000 1
eficazmente eficazmente RG 1
las el DA0FP0 0.988184
barreras barrera NCFP000 1
a a SP 0.998775
