RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_LA_MODIFICACIÓN_A_LAS_CARACTERÍSTICAS_TÉCNICAS_DE_LA_ESTACIÓN_DE_RADIODIFUSIÓN_SONORA_CON_DISTINTIVO_DE_LLAMADA_XHLIA-FM_QUE_OPERA_LA_FRECUENCIA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_la_modificación_a_las_características_técnicas_de_la_estación_de_radiodifusión_sonora_con_distintivo_de_llamada_xhlia-fm_que_opera_la_frecuencia NP00000 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
establecen establecer VMIP3P0 1
los el DA0MP0 0.992728
requisitos requisito NCMP000 0.98913
para para SP 0.999834
llevar_a_cabo llevar_a_cabo VMN0000 1
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
frecuencias frecuencia NCFP000 1
autorizadas autorizar VMP00PF 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radio radio NCCS000 0.994505
y y CC 0.999989
que que PR0CN00 0.550139
operan operar VMIP3P0 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
Amplitud_Modulada amplitud_modulada NP00000 1
, , Fc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo_de_Transición acuerdo_de_transición NP00000 1
” ” Frc 1
) ) Fpt 1
publicado publicar VMP00SM 1
el el DA0MS0 1
15_de_septiembre_de_2008 [??:15/9/2008:??.??:??] W 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
DOF do_f NCMS000 0.52712
” ” Frc 1
) ) Fpt 1
. . Fp 1

Cesión cesión NCFS000 0.668984
de de SP 0.999961
derechos derecho NCMP000 0.996795
. . Fp 1

Con con SP 1
número número NCMS000 1
de de SP 0.999961
oficio oficio NCMS000 0.986111
CFT/D01/STP/3785/12 CFT/D01/STP/3785/12 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
31_de_octubre_de_2012 [??:31/10/2012:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Cofetel cofetel NP00000 1
autorizó autorizar VMIS3S0 1
a a SP 0.998775
Mensaje_Radiofónico mensaje_radiofónico NP00000 1
, , Fc 1
S.A. s.a. NP00000 1
, , Fc 1
la el DA0FS0 0.98926
cesión cesión NCFS000 1
de de SP 0.999961
derechos derecho NCMP000 0.996795
y y CC 0.999989
obligaciones obligación NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
que que PR0CN00 0.550139
ampara amparar VMIP3S0 0.989241
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
comercial comercial AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
103.3 103.3 Z 1
MHz mhz NP00000 1
, , Fc 1
a_favor_de a_favor_de SP 1
Carlos_de_Jesús_Quiñonez_Armendáriz carlos_de_jesús_quiñonez_armendáriz NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Concesionario concesionario AQ0MS00 0.511244
” ” Frc 1
) ) Fpt 1
. . Fp 1

Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
DOF do_f NCMS000 0.52712
” ” Frc 1
) ) Fpt 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
creó crear VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Cambio cambio NCMS000 0.997413
de de SP 0.999961
frecuencia frecuencia NCFS000 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
FM fm NP00000 1
. . Fp 1

Con con SP 1
número número NCMS000 1
de de SP 0.999961
oficio oficio NCMS000 0.986111
CFT/D01/STP/7996/13 CFT/D01/STP/7996/13 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
10_de_septiembre_de_2013 [??:10/9/2013:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Cofetel cofetel NP00000 1
autorizó autorizar VMIS3S0 1
a a SP 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
103.3 103.3 Z 1
MHz mhz NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
93.1 93.1 Z 1
MHz mhz NP00000 1
, , Fc 1
que que PR0CN00 0.550139
opera operar VMIP3S0 0.986111
la el DA0FS0 0.98926
estación estación NCFS000 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XHLIA-FM xhlia-fm NP00000 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
modificación modificación NCFS000 1
técnica técnico AQ0FS00 0.294798
. . Fp 1

Con con SP 1
escritos escrito NCMP000 0.526214
recibidos recibir VMP00PM 1
en en SP 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
con con SP 1
fechas fecha NCFP000 0.980583
23_de_agosto [??:23/8/??:??.??:??] W 1
y y CC 0.999989
12_de_diciembre [??:12/12/??:??.??:??] W 1
, , Fc 1
ambos ambos PI0MP00 0.473739
de de SP 0.999961
2013 2013 Z 1
, , Fc 1
registrados registrar VMP00PM 1
con con SP 1
números número NCMP000 1
de de SP 0.999961
folio folio NCMS000 0.989726
43694 43694 Z 1
y y CC 0.999989
11725 11725 Z 1
, , Fc 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
solicitó solicitar VMIS3S0 1
autorización autorización NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
ubicación ubicación NCFS000 1
de de SP 0.999961
antena antena NCFS000 1
y y CC 0.999989
planta planta NCFS000 0.948498
transmisora transmisor AQ0FS00 0.361294
de de SP 0.999961
la el DA0FS0 0.98926
estación estación NCFS000 1
XHLIA-FM xhlia-fm NP00000 1
, , Fc 1
adjuntando adjuntar VMG0000 1
la el DA0FS0 0.98926
documentación documentación NCFS000 1
legal legal AQ0CS00 1
y y CC 0.999989
técnica técnica NCFS000 0.352601
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
. . Fp 1
- - Fg 1
Con con SP 1
fechas fecha NCFP000 0.980583
13_de_septiembre_de_2013 [??:13/9/2013:??.??:??] W 1
y y CC 0.999989
22_de_enero_de_2014 [??:22/1/2014:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
extinta extinto AQ0FS00 1
Dirección_General_Adjunta_de_Trámites dirección_general_adjunta_de_trámites NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
solicitó solicitar VMIS3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
la el DA0FS0 0.98926
Dirección_General_Adjunta_de_Desarrollo dirección_general_adjunta_de_desarrollo NP00000 1
, , Fc 1
ambas ambos PI0FP00 0.232143
adscritas adscribir VMP00PF 1
a a SP 0.998775
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Unidad_de_Sistemas_de_Radio unidad_de_sistemas_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
. . Fp 1

Dictamen dictamen NP00000 0.331016
técnico técnico NCMS000 0.821828
. . Fp 1

Con con SP 1
número número NCMS000 1
de de SP 0.999961
oficio oficio NCMS000 0.986111
IFT/D02/USRT/DGAD/0605/2014 IFT/D02/USRT/DGAD/0605/2014 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
29_de_abril_de_2014 [??:29/4/2014:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
extinta extinto AQ0FS00 1
Dirección_General_Adjunta_de_Desarrollo_de_la_Radiodifusión dirección_general_adjunta_de_desarrollo_de_la_radiodifusión NP00000 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Unidad_de_Sistemas_de_Radio unidad_de_sistemas_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
, , Fc 1
emitió emitir VMIS3S0 1
dictamen dictamen NCMS000 1
técnico técnico AQ0MS00 0.178172
respecto_a respecto_a SP 1
de de SP 0.999961
las el DA0FP0 0.988184
modificadores modificador NCMP000 0.638706
técnicas técnico AQ0FP00 0.300493
solicitadas solicitar VMP00PF 1
por por SP 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
. . Fp 1

Decreto_de_Ley decreto_de_ley NP00000 1
. . Fp 1

El el DA0MS0 1
14_de_julio_de_2014 [??:14/7/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expiden expedir VMIP3P0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
y y CC 0.999989
la el DA0FS0 0.98926
Ley_de_el_Sistema_Público_de_Radiodifusión_de_el_Estado_Mexicano ley_de_el_sistema_público_de_radiodifusión_de_el_estado_mexicano NP00000 1
; ; Fx 1
y y CC 0.999989
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
, , Fc 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Ley decreto_de_ley NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
13_de_agosto_de_2014 [??:13/8/2014:??.??:??] W 1
. . Fp 1

Opinión_de_la_Dirección_General_de_Aeronáutica_Civil opinión_de_la_dirección_general_de_aeronáutica_civil NP00000 1
. . Fp 1

Con con SP 1
oficio oficio NCMS000 0.986111
número número NCMS000 1
4.1.2.3.1903/VUS 4.1.2.3.1903/VUS Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
12_de_junio_de_2014 [??:12/6/2014:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Aeronáutica_Civil_de_la_Secretaría_de_Comunicaciones dirección_general_de_aeronáutica_civil_de_la_secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
, , Fc 1
emitió emitir VMIS3S0 1
opinión opinión NCFS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
emplazamiento emplazamiento NCMS000 1
de de SP 1
el el DA0MS0 1
soporte soporte NCMS000 0.919142
estructural estructural AQ0CS00 1
. . Fp 1

Estatuto_Orgánico estatuto_orgánico NP00000 1
. . Fp 1

El el DA0MS0 1
4_de_septiembre_de_2014 [??:4/9/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
26_de_septiembre_de_2014 [??:26/9/2014:??.??:??] W 1
y y CC 0.999989
cuya cuyo PR0FS00 1
última último AO0FS00 1
modificación modificación NCFS000 1
fue ser VSIS3S0 0.980739
publicada publicar VMP00SF 1
el el DA0MS0 1
17_de_octubre_de_2016 [??:17/10/2016:??.??:??] W 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
monto monto NCMS000 0.939852
de de SP 0.999961
contraprestación contraprestación NCFS000 1
complementaria complementario AQ0FS00 1
. . Fp 1

Con con SP 1
oficio oficio NCMS000 0.986111
número número NCMS000 1
IFT/223/UCS/DG-CRAD/2379/2015 IFT/223/UCS/DG-CRAD/2379/2015 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
2_de_junio_de_2015 [??:2/6/2015:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Radiodifusión dirección_general_de_concesiones_de_radiodifusión NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Dirección_General_de_Economía_de_el_Espectro dirección_general_de_economía_de_el_espectro NP00000 1
y y CC 0.999989
Recursos_Orbitales recursos_orbitales NP00000 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
UER uer NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
calcular calcular VMN0000 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
contraprestación contraprestación NCFS000 1
por por SP 1
la el DA0FS0 0.98926
modificación modificación NCFS000 1
solicitada solicitar VMP00SF 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
opinión opinión NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Hacienda secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
. . Fp 1

Con con SP 1
oficio oficio NCMS000 0.986111
número número NCMS000 1
IFT/222/UER/024/2016 IFT/222/UER/024/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
12_de_febrero_de_2016 [??:12/2/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Política_de_Ingresos_No_Tributarios_de_la_Secretaría_de_Hacienda unidad_de_política_de_ingresos_no_tributarios_de_la_secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
SHCP shcp NP00000 1
” ” Frc 1
) ) Fpt 1
opinión opinión NCFS000 1
respecto_a respecto_a SP 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
complementaria complementario AQ0FS00 1
. . Fp 1

Opinión_de_la_Secretaría_de_Hacienda opinión_de_la_secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
. . Fp 1
- - Fg 1
Con con SP 1
oficio oficio NCMS000 0.986111
número número NCMS000 1
349-B-141 349-B-141 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
31_de_marzo_de_2016 [??:31/3/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Política_de_Ingresos_No_Tributarios_de_la_SHCP unidad_de_política_de_ingresos_no_tributarios_de_la_shcp NP00000 1
consideró considerar VMIS3S0 1
procedente procedente AQ0CS00 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
las el DA0FP0 0.988184
contraprestación contraprestación NCFS000 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
lo el DA00S0 0.665165
anteriormente anteriormente RG 1
señalado señalar VMP00SM 1
y y CC 0.999989
, , Fc 1
CONSIDERANDO_Primero considerando_primero NP00000 1
. . Fp 1

Competencia competencia NP00000 0.331016
. . Fp 1

Conforme conforme RG 0.0988037
lo lo PP3MSA0 0.334764
dispone disponer VMIP3S0 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
párrafo párrafo NCMS000 1
décimo décimo NCMS000 0.392601
quinto 5 AO0MS00 0.73057
y y CC 0.999989
décimo 10 AO0MS00 0.607399
sexto sexto NCMS000 0.0121951
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
, , Fc 1
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
, , Fc 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
Constitución constitución NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
que que PR0CN00 0.550139
fijen fijar VMSP3P0 0.941964
las el DA0FP0 0.988184
leyes ley NCFP000 1
. . Fp 1

Para para SP 0.999834
tal tal DD0CS0 0.672764
efecto efecto NCMS000 1
, , Fc 1
tiene tener VMIP3S0 1
a a SP 0.998775
su su DP3CSN 1
cargo cargo NCMS000 0.998084
la el DA0FS0 0.98926
regulación regulación NCFS000 1
, , Fc 1
promoción promoción NCFS000 1
y y CC 0.999989
supervisión supervisión NCFS000 1
de de SP 1
el el DA0MS0 1
uso uso NCMS000 0.998047
, , Fc 1
aprovechamiento aprovechamiento NCMS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
, , Fc 1
las el DA0FP0 0.988184
redes red NCFP000 0.990196
y y CC 0.999989
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
servicios servicio NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
así_como así_como CC 1
de de SP 1
el el DA0MS0 1
acceso acceso NCMS000 1
a a SP 0.998775
infraestructura infraestructura NCFS000 1
activa activo AQ0FS00 0.992395
, , Fc 1
pasiva pasivo AQ0FS00 0.661244
y y CC 0.999989
otros otro DI0MP0 0.745978
insumos insumo NCMP000 1
esenciales esencial AQ0CP00 1
, , Fc 1
garantizando garantizar VMG0000 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
y y CC 0.999989
7o 7o Z 1
. . Fp 1
de de SP 0.999961
la el DA0FS0 0.98926
propia propio AQ0FS00 1
Constitución constitución NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
es ser VSIP3S0 1
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
de de SP 0.999961
los el DA0MP0 0.992728
sectores sector NCMP000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
entre entre SP 0.980341
otros otro DI0MP0 0.745978
aspectos aspecto NCMP000 1
, , Fc 1
regulará regular VMIF3S0 1
de de SP 0.999961
forma forma NCFS000 0.987798
asimétrica asimétrico AQ0FS00 1
a a SP 0.998775
los el DA0MP0 0.992728
participantes participante NCCP000 0.983871
en en SP 1
estos este DD0MP0 0.972009
mercados mercado NCMP000 0.997512
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
eliminar eliminar VMN0000 1
eficazmente eficazmente RG 1
las el DA0FP0 0.988184
barreras barrera NCFP000 1
a a SP 0.998775
la el DA0FS0 0.98926
competencia competencia NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
; ; Fx 1
impondrá imponer VMIF3S0 1
límites límite NCMP000 1
a a SP 1
el el DA0MS0 1
concesionamiento concesionamiento NCMS000 0.981144
y y CC 0.999989
a a SP 0.998775
la el DA0FS0 0.98926
propiedad propiedad NCFS000 1
cruzada cruzar VMP00SF 0.473747
que que PR0CN00 0.550139
controle controlar VMSP3S0 0.634863
varios varios DI0MP0 0.9139
medios medio NCMP000 0.997344
de de SP 0.999961
comunicación comunicación NCFS000 1
que que PR0CN00 0.550139
sean ser VSSP3P0 0.996689
concesionarios concesionario AQ0MP00 0.37202
de de SP 0.999961
