RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_LAS_EMPRESAS_AXTEL resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_las_empresas_axtel NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Procedimiento procedimiento NCMS000 0.668984
de de SP 0.999961
resolución resolución NCFS000 1
de de SP 0.999961
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
. . Fp 1

El el DA0MS0 1
3_de_octubre_de_2016 [??:3/10/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
de de SP 0.999961
Axtel axtel NP00000 1
y y CC 0.999989
Avantel avantel NP00000 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
escritos escribir VMP00PM 0.473786
mediante mediante SP 0.99763
los el DA0MP0 0.992728
cuales cual PR0CP00 1
solicitó solicitar VMIS3S0 1
su su DP3CSN 1
intervención intervención NCFS000 1
para para SP 0.999834
resolver resolver VMN0000 1
los el DA0MP0 0.992728
términos término NCMP000 1
, , Fc 1
tarifas tarifa NCFP000 0.992958
y y CC 0.999989
condiciones condición NCFP000 0.998418
que que PR0CN00 0.550139
no no RN 0.999297
pudo poder VMIS3S0 1
convenir convenir VMN0000 1
con con SP 1
Bestphone bestphone NP00000 1
para para SP 0.999834
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
respectivas respectivo AQ0FP00 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
aplicables aplicable AQ0CP00 1
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
2017 2017 Z 1
. . Fp 1

Las el DA0FP0 0.988184
Solicitudes_de_Resolución solicitudes_de_resolución NP00000 1
se se P00CN00 0.494509
admitieron admitir VMIS3P0 1
a a SP 0.998775
trámite trámite NCMS000 1
, , Fc 1
asignando asignar VMG0000 1
les le PP3CPD0 1
los el DA0MP0 0.992728
números número NCMP000 1
de de SP 0.999961
expediente expediente NCMS000 0.982759
IFT/221/UPR/DG-RIRST/197.031016/ITX IFT/221/UPR/DG-RIRST/197.031016/ITX Z 1
, , Fc 1
IFT/221/UPR/DG-RIRST/198.031016/ITX IFT/221/UPR/DG-RIRST/198.031016/ITX Z 1
, , Fc 1
IFT/221/UPR/DG-RIRST/199.031016/ITX IFT/221/UPR/DG-RIRST/199.031016/ITX Z 1
e y CC 0.987994
IFT/221/UPR/DG-RIRST/200.031016/ITX IFT/221/UPR/DG-RIRST/200.031016/ITX Z 1
. . Fp 1

Asimismo asimismo RG 1
toda todo DI0FS0 0.984467
vez vez NCFS000 1
que que PR0CN00 0.550139
los el DA0MP0 0.992728
procedimientos procedimiento NCMP000 1
iniciados iniciar VMP00PM 0.473811
de de SP 0.999961
manera manera NCFS000 1
independiente independiente AQ0CS00 1
por por SP 1
Axtel axtel NP00000 1
y y CC 0.999989
Avantel avantel NP00000 1
tienden tender VMIP3P0 1
a a SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
efecto efecto NCMS000 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
45 45 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Procedimiento_Administrativo ley_federal_de_procedimiento_administrativo NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
LFPA lfpa NP00000 1
” ” Frc 1
) ) Fpt 1
y y CC 0.999989
73 73 Z 1
de de SP 1
el el DA0MS0 1
Código_Federal_de_Procedimientos_Civiles código_federal_de_procedimientos_civiles NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
CFPC cfpc NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
ordenamientos ordenamiento NCMP000 1
de de SP 0.999961
aplicación aplicación NCFS000 1
supletoria supletorio AQ0FS00 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
, , Fc 1
fracciones fracción NCFP000 0.998103
IV iv NP00000 1
y y CC 0.999989
VII vii NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
LFTyR lftyr NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
y y CC 0.999989
siendo ser VSG0000 1
legalmente legalmente RG 1
factible factible AQ0CS00 1
, , Fc 1
se se P00CN00 0.494509
ordenó ordenar VMIS3S0 1
la el DA0FS0 0.98926
acumulación acumulación NCFS000 1
de de SP 1
el el DA0MS0 1
más más RG 0.99993
nuevo nuevo AQ0MS00 1
a a SP 1
el el DA0MS0 1
más más RG 0.99993
antiguo antiguo AQ0MS00 0.994169
tal_como tal_y_como CS 1
lo lo PP3MSA0 0.334764
dispone disponer VMIP3S0 1
el el DA0MS0 1
artículo artículo NCMS000 1
72 72 Z 1
de de SP 1
el el DA0MS0 1
CFPC cfpc NP00000 1
, , Fc 1
quedando quedar VMG0000 1
acumulados acumular VMP00PM 1
en en SP 1
el el DA0MS0 1
procedimiento procedimiento NCMS000 1
administrativo administrativo AQ0MS00 0.661294
iniciado iniciar VMP00SM 0.992958
por por SP 1
Axtel axtel NP00000 1
en_contra_de en_contra_de SP 1
Bestphone bestphone NP00000 1
, , Fc 1
identificado identificar VMP00SM 1
con con SP 1
el el DA0MS0 1
número número NCMS000 1
de de SP 0.999961
expediente expediente NCMS000 0.982759
IFT/221/UPR/DG-RIRST/197.031016/ITX IFT/221/UPR/DG-RIRST/197.031016/ITX Z 1
. . Fp 1

El el DA0MS0 1
procedimiento procedimiento NCMS000 1
fue ser VSIS3S0 0.980739
sustanciado sustanciar VMP00SM 1
en en SP 1
todas todo DI0FP0 0.934073
y y CC 0.999989
cada cada DI0CS0 1
una uno PI0FS00 0.0420733
de de SP 0.999961
sus su DP3CPN 0.999903
etapas etapa NCFP000 1
en en SP 1
estricto estricto AQ0MS00 1
apego apego NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTyR lftyr NP00000 1
. . Fp 1

Lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
plenamente plenamente RG 1
documentado documentar VMP00SM 1
en en SP 1
las el DA0FP0 0.988184
constancias constancia NCFP000 1
que que PR0CN00 0.550139
integran integrar VMIP3P0 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
administrativo administrativo AQ0MS00 0.661294
en en SP 1
comento comento NCMS000 0.987779
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
ha haber VAIP3S0 0.999889
estado estar VMP00SM 0.346619
en en SP 1
todo todo DI0MS0 0.6662
momento momento NCMS000 1
a a SP 0.998775
disposición disposición NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
, , Fc 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
tienen tener VMIP3P0 1
pleno pleno AQ0MS00 0.375776
conocimiento conocimiento NCMS000 1
de de SP 0.999961
su su DP3CSN 1
contenido contenido NCMS000 0.993421
. . Fp 1

Es ser VSIP3S0 1
así así RG 0.999409
que que CS 0.449861
con con SP 1
fecha fecha NCFS000 0.990741
16_de_diciembre_de_2016 [??:16/12/2016:??.??:??] W 1
el el DA0MS0 1
Instituto instituto NP00000 1
notificó notificar VMIS3S0 1
a a SP 0.998775
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
, , Fc 1
que que CS 0.449861
el el DA0MS0 1
procedimiento procedimiento NCMS000 1
guardaba guardar VMII3S0 0.65
estado estar VMP00SM 0.346619
para para SP 0.999834
que que CS 0.449861
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
dictase dictar VMSI3S0 0.634863
la el DA0FS0 0.98926
resolución resolución NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

En_virtud_de en_virtud_de SP 1
los el DA0MP0 0.992728
referidos referir VMP00PM 1
Antecedentes antecedentes NP00000 1
, , Fc 1
y y CC 0.999989
CONSIDERANDO_PRIMERO considerando_primero NP00000 1
. . Fp 1
- - Fg 1
Competencia_de_el_Instituto competencia_de_el_instituto NP00000 1
. . Fp 1

De de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6 6 Z 1
° ° Fz 1
, , Fc 1
apartado apartar VMP00SM 0.336957
B b NP00000 1
fracción fracción NCFS000 1
II ii NP00000 1
y y CC 0.999989
28 28 Z 1
, , Fc 1
párrafos párrafo NCMP000 1
décimo décimo NCMS000 0.392601
quinto 5 AO0MS00 0.73057
y y CC 0.999989
décimo 10 AO0MS00 0.607399
sexto sexto NCMS000 0.0121951
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
la el DA0FS0 0.98926
“ “ Fra 1
Constitución constitución NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
y y CC 0.999989
7 7 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTyR lftyr NP00000 1
; ; Fx 1
el el DA0MS0 1
Instituto instituto NP00000 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
público público AQ0MS00 0.409696
autónomo autónomo AQ0MS00 0.980769
, , Fc 1
independiente independiente AQ0CS00 1
en en SP 1
sus su DP3CPN 0.999903
decisiones decisión NCFP000 1
y y CC 0.999989
funcionamiento funcionamiento NCMS000 1
, , Fc 1
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
, , Fc 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
por por SP 1
objeto objeto NCMS000 0.996183
regular regular AQ0CS00 0.5
y y CC 0.999989
promover promover VMN0000 1
la el DA0FS0 0.98926
competencia competencia NCFS000 1
y y CC 0.999989
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
la el DA0FS0 0.98926
radiodifusión radiodifusión NCFS000 1
en en SP 1
el el DA0MS0 1
ámbito ámbito NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
atribuciones atribución NCFP000 1
que que PR0CN00 0.550139
le le PP3CSD0 1
confiere conferir VMIP3S0 0.989239
la el DA0FS0 0.98926
Constitución constitución NP00000 1
y y CC 0.999989
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
que que PR0CN00 0.550139
fijan fijar VMIP3P0 1
la el DA0FS0 0.98926
LFTyR lftyr NP00000 1
y y CC 0.999989
demás demás DI0CP0 0.280093
disposiciones disposición NCFP000 1
aplicables aplicable AQ0CP00 1
. . Fp 1

Con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
7 7 Z 1
, , Fc 1
15 15 Z 1
, , Fc 1
fracción fracción NCFS000 1
X x NP00000 1
, , Fc 1
17 17 Z 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
y y CC 0.999989
129 129 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTyR lftyr NP00000 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
está estar VMIP3S0 0.999398
facultado facultar VMP00SM 1
, , Fc 1
de de SP 0.999961
manera manera NCFS000 1
exclusiva exclusivo AQ0FS00 0.708333
e y CC 0.987994
indelegable indelegable AQ0CS00 1
, , Fc 1
para para SP 0.999834
resolver resolver VMN0000 1
y y CC 0.999989
establecer establecer VMN0000 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
, , Fc 1
términos término NCMP000 1
y y CC 0.999989
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
no no RN 0.999297
hayan haber VASP3P0 0.994792
podido poder VMP00SM 1
convenir convenir VMN0000 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
respecto_de respecto_de SP 1
sus su DP3CPN 0.999903
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
una_vez_que una_vez_que CS 1
se se P00CN00 0.494509
solicite solicitar VMSP3S0 0.634863
su su DP3CSN 1
intervención intervención NCFS000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
y y CC 0.999989
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
indicados indicar VMP00PM 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
es ser VSIP3S0 1
competente competente AQ0CS00 1
para para SP 0.999834
emitir emitir VMN0000 1
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
que que PR0CN00 0.550139
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
, , Fc 1
términos término NCMP000 1
y y CC 0.999989
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
entre entre SP 0.980341
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operan operar VMIP3P0 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
que que PR0CN00 0.550139
forman_parte formar_parte VMIP3P0 1
en en SP 1
el el DA0MS0 1
presente presente AQ0CS00 0.524254
procedimiento procedimiento NCMS000 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Importancia importancia NCFS000 0.668984
y y CC 0.999989
obligatoriedad obligatoriedad NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
interconexión interconexión NCFS000 1
e y CC 0.987994
Interés_Público interés_público NP00000 1
. . Fp 1
- - Fg 1
El el DA0MS0 1
artículo artículo NCMS000 1
6 6 Z 1
, , Fc 1
apartado apartar VMP00SM 0.336957
B b NP00000 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
establece establecer VMIP3S0 0.992424
que que CS 0.449861
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
son ser VSIP3P0 0.995197
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
interés interés NCMS000 1
general general AQ0CS00 0.826212
, , Fc 1
y y CC 0.999989
es ser VSIP3S0 1
el el DA0MS0 1
deber deber NCMS000 0.880435
de de SP 1
el el DA0MS0 1
Estado estado NP00000 1
garantizar garantizar VMN0000 1
que que CS 0.449861
se se P00CN00 0.494509
presten prestar VMSP3P0 0.941964
en en SP 1
condiciones condición NCFP000 0.998418
de de SP 0.999961
competencia competencia NCFS000 1
, , Fc 1
calidad calidad NCFS000 1
, , Fc 1
pluralidad pluralidad NCFS000 1
, , Fc 1
cobertura cobertura NCFS000 1
universal universal AQ0CS00 0.98913
, , Fc 1
interconexión interconexión NCFS000 1
, , Fc 1
convergencia convergencia NCFS000 1
, , Fc 1
continuidad continuidad NCFS000 1
, , Fc 1
acceso acceso NCMS000 1
libre libre AQ0CS00 0.957522
y y CC 0.999989
sin sin SP 1
injerencias injerencia NCFP000 1
arbitrarias arbitrario AQ0FP00 1
. . Fp 1

Por por SP 1
su su DP3CSN 1
parte parte NCCS000 0.977711
, , Fc 1
el el DA0MS0 1
artículo artículo NCMS000 1
2 2 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
LFTyR lftyr NP00000 1
, , Fc 1
en en SP 1
concordancia concordancia NCFS000 1
con con SP 1
la el DA0FS0 0.98926
Constitución constitución NP00000 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
son ser VSIP3P0 0.995197
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 0.999961
interés interés NCMS000 1
general general AQ0CS00 0.826212
y y CC 0.999989
que que PR0CN00 0.550139
corresponde corresponder VMIP3S0 0.996183
a a SP 1
el el DA0MS0 1
Estado estado NP00000 1
ejercer ejercer VMN0000 1
la el DA0FS0 0.98926
rectoría rectoría NCFS000 1
en en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
, , Fc 1
