RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_LA_UNIVERSIDAD_AUTÓNOMA_CHAPINGO_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_PÚBLICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_la_universidad_autónoma_chapingo_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_para_uso_público NP00000 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expiden expedir VMIP3P0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
y y CC 0.999989
la el DA0FS0 0.98926
Ley_de_el_Sistema_Público_de_Radiodifusión_de_el_Estado_Mexicano ley_de_el_sistema_público_de_radiodifusión_de_el_estado_mexicano NP00000 1
; ; Fx 1
y y CC 0.999989
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
, , Fc 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
” ” Frc 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
13_de_agosto_de_2014 [??:13/8/2014:??.??:??] W 1
. . Fp 1

Estatuto_Orgánico estatuto_orgánico NP00000 1
. . Fp 1

El el DA0MS0 1
4_de_septiembre_de_2014 [??:4/9/2014:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
” ” Frc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
el el DA0MS0 1
“ “ Fra 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
26_de_septiembre_de_2014 [??:26/9/2014:??.??:??] W 1
y y CC 0.999989
se se P00CN00 0.494509
modificó modificar VMIS3S0 1
a_través_de a_través_de SP 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
modifica modificar VMIP3S0 0.973451
el el DA0MS0 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
” ” Frc 1
de de SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
17_de_octubre_de_2016 [??:17/10/2016:??.??:??] W 1
. . Fp 1

Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
. . Fp 1

El el DA0MS0 1
24_de_julio_de_2015 [??:24/7/2015:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF_los_Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones dof_los_lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
Título_Cuarto_de_la_Ley_Federal_de_Telecomunicaciones título_cuarto_de_la_ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
los el DA0MP0 0.992728
“ “ Fra 1
Lineamientos_Generales_para_el_Otorgamiento_de_las_Concesiones lineamientos_generales_para_el_otorgamiento_de_las_concesiones NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Programa_Anual_de_Uso programa_anual_de_uso NP00000 1
y y CC 0.999989
Aprovechamiento_de_Bandas_de_Frecuencias aprovechamiento_de_bandas_de_frecuencias NP00000 1
2016 2016 Z 1
. . Fp 1

El el DA0MS0 1
5_de_octubre_de_2015 [??:5/10/2015:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
“ “ Fra 1
Programa_Anual_de_Uso programa_anual_de_uso NP00000 1
y y CC 0.999989
Aprovechamiento_de_Bandas_de_Frecuencias aprovechamiento_de_bandas_de_frecuencias NP00000 1
2016 2016 Z 1
” ” Frc 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
fue ser VSIS3S0 0.980739
modificado modificar VMP00SM 1
por por SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
mediante mediante SP 0.99763
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
P/IFT/130116/1 P/IFT/130116/1 Z 1
publicado publicar VMP00SM 1
, , Fc 1
en en SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
medio medio NCMS000 0.21966
de de SP 0.999961
difusión difusión NCFS000 1
oficial oficial AQ0CS00 0.986284
, , Fc 1
el el DA0MS0 1
21_de_enero_de_2016 [??:21/1/2016:??.??:??] W 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
el el DA0MS0 1
“ “ Fra 1
Programa_Anual programa_anual NP00000 1
2016 2016 Z 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
15_de_febrero_de_2016 [??:15/2/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Universidad_Autónoma_Chapingo universidad_autónoma_chapingo NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Universidad_ACh universidad_ach NP00000 1
” ” Frc 1
) ) Fpt 1
formuló formular VMIS3S0 1
por por SP 1
conducto conducto NCMS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
concesión concesión NCFS000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
Amplitud_Modulada amplitud_modulada NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
“ “ Fra 1
AM am NCFS000 0.345173
” ” Frc 1
) ) Fpt 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
localidad localidad NCFS000 1
de de SP 0.999961
Texcoco_de_Mora texcoco_de_mora NP00000 1
, , Fc 1
Estado_de_México estado_de_méxico NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/478/2016 IFT/223/UCS/478/2016 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
7_de_abril_de_2016 [??:7/4/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
UCS ucs NP00000 1
” ” Frc 1
) ) Fpt 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
sobre sobre SP 0.997804
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
concesión concesión NCFS000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
párrafo párrafo NCMS000 1
décimo décimo NCMS000 0.392601
séptimo 7 AO0MS00 0.991803
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
Constitución constitución NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Requerimiento_de_Información requerimiento_de_información NP00000 1
. . Fp 1

La el DA0FS0 0.98926
Dirección_General_de_Concesiones_de_Radiodifusión dirección_general_de_concesiones_de_radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
DGCR dgcr NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
UCS_de_el_Instituto ucs_de_el_instituto NP00000 1
, , Fc 1
requirió requerir VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
diversa diverso DI0FS0 0.413851
información información NCFS000 1
complementaria complementario AQ0FS00 1
, , Fc 1
a_través_de a_través_de SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CRAD/815/2016 IFT/223/UCS/DG-CRAD/815/2016 Z 1
, , Fc 1
notificado notificar VMP00SM 1
el el DA0MS0 1
14_de_abril_de_2016 [??:14/4/2016:??.??:??] W 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
con_objeto_de con_objeto_de SP 1
que que CS 0.449861
se se P00CN00 0.494509
encontrara encontrar VMSI3S0 0.649999
debidamente debidamente RG 1
integrada integrar VMP00SF 1
. . Fp 1

Solicitud_de_Asignación solicitud_de_asignación NP00000 1
de de SP 0.999961
una uno DI0FS0 0.951973
frecuencia frecuencia NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/913/2016 IFT/223/UCS/913/2016 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
22_de_junio_de_2016 [??:22/6/2016:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Titular_de_la_UCS titular_de_la_ucs NP00000 1
, , Fc 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
UER uer NP00000 1
” ” Frc 1
) ) Fpt 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
la el DA0FS0 0.98926
asignación asignación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
con con SP 1
el el DA0MS0 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
determinar determinar VMN0000 1
la el DA0FS0 0.98926
viabilidad viabilidad NCFS000 1
de de SP 0.999961
su su DP3CSN 1
otorgamiento otorgamiento NCMS000 1
. . Fp 1

Opinión_de_la_Secretaría opinión_de_la_secretaría NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
2.1.-359/2016 2.1.-359/2016 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
9_de_mayo_de_2016 [??:9/5/2016:??.??:??] W 1
, , Fc 1
recibido recibir VMP00SM 1
en en SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
11 11 Z 1
de de SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
mes mes NCMS000 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Política_de_Telecomunicaciones dirección_general_de_política_de_telecomunicaciones NP00000 1
y y CC 0.999989
de de SP 0.999961
Radiodifusión_de_la_Secretaría radiodifusión_de_la_secretaría NP00000 1
, , Fc 1
remitió remitir VMIS3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
favorable favorable AQ0CS00 1
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
, , Fc 1
contenida contener VMP00SF 1
en en SP 1
el el DA0MS0 1
diverso diverso AQ0MS00 0.586149
oficio oficio NCMS000 0.986111
número número NCMS000 1
1.-088 1.-088 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
9_de_mayo_de_2016 [??:9/5/2016:??.??:??] W 1
, , Fc 1
suscrito suscribir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Subsecretaría_de_Comunicaciones subsecretaría_de_comunicaciones NP00000 1
en en SP 1
ausencia ausencia NCFS000 1
de de SP 1
el el DA0MS0 1
Secretario_de_Comunicaciones secretario_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
. . Fp 1

Solicitud_de_Ampliación solicitud_de_ampliación NP00000 1
de de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
para para SP 0.999834
atender atender VMN0000 1
el el DA0MS0 1
Requerimiento_de_Información requerimiento_de_información NP00000 1
. . Fp 1
- - Fg 1
Con con SP 1
oficio oficio NCMS000 0.986111
602.1/12804 602.1/12804 Z 1
presentado presentar VMP00SM 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
24_de_mayo_de_2016 [??:24/5/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
, , Fc 1
solicitó solicitar VMIS3S0 1
la el DA0FS0 0.98926
ampliación ampliación NCFS000 1
de de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
para para SP 0.999834
efecto efecto NCMS000 1
de de SP 0.999961
estar estar VMN0000 0.999154
en en SP 1
posibilidad posibilidad NCFS000 1
de de SP 0.999961
desahogar desahogar VMN0000 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
de de SP 0.999961
información información NCFS000 1
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
Antecedente_VIII antecedente_viii NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
. . Fp 1

Autorización_de_la_Ampliación autorización_de_la_ampliación NP00000 1
de de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
para para SP 0.999834
atender atender VMN0000 1
el el DA0MS0 1
Requerimiento_de_Información requerimiento_de_información NP00000 1
. . Fp 1

Con con SP 1
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CRAD/1654/2016 IFT/223/UCS/DG-CRAD/1654/2016 Z 1
, , Fc 1
notificado notificar VMP00SM 1
el el DA0MS0 1
11_de_junio_de_2016 [??:11/6/2016:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
autorizó autorizar VMIS3S0 1
la el DA0FS0 0.98926
ampliación ampliación NCFS000 1
de de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
por por SP 1
un uno DI0MS0 0.99698
periodo periodo NCMS000 1
de de SP 0.999961
30 30 Z 1
( ( Fpa 1
treinta 30 Z 1
) ) Fpt 1
días día NCMP000 1
hábiles hábil AQ0CP00 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
el el DA0MS0 1
día día NCMS000 1
siguiente siguiente AQ0CS00 1
en en SP 1
aquel aquel PD0MS00 0.120853
que que PR0CN00 0.550139
surta surtir VMSP3S0 0.634854
efectos efecto NCMP000 1
la el DA0FS0 0.98926
notificación notificación NCFS000 1
. . Fp 1

Atención atención NCFS000 0.994638
a a SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
de de SP 0.999961
información información NCFS000 1
. . Fp 1

El el DA0MS0 1
4_de_agosto_de_2016 [??:4/8/2016:??.??:??] W 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
602.1/18670 602.1/18670 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
1_de_agosto_de_2016 [??:1/8/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Universidad_ACh universidad_ach NP00000 1
por por SP 1
conducto conducto NCMS000 1
de de SP 0.999961
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
, , Fc 1
presentó presentar VMIS3S0 1
la el DA0FS0 0.98926
información información NCFS000 1
y y CC 0.999989
documentación documentación NCFS000 1
adicional adicional AQ0CS00 1
en en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 1
el el DA0MS0 1
requerimiento requerimiento NCMS000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
Antecedente_VIII antecedente_viii NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
. . Fp 1

Asignación asignación NP00000 0.331016
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
por por SP 1
parte parte NCCS000 0.977711
de de SP 0.999961
la el DA0FS0 0.98926
UER uer NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/222/UER/DG-IEET/0850/2016 IFT/222/UER/DG-IEET/0850/2016 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
31_de_agosto_de_2016 [??:31/8/2016:??.??:??] W 1
la el DA0FS0 0.98926
Dirección_General_de_Ingeniería_de_el_Espectro dirección_general_de_ingeniería_de_el_espectro NP00000 1
y y CC 0.999989
Estudios_Técnicos estudios_técnicos NP00000 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
UER_de_el_Instituto uer_de_el_instituto NP00000 1
, , Fc 1
remitió remitir VMIS3S0 1
la el DA0FS0 0.98926
asignación asignación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
para para SP 0.999834
la el DA0FS0 0.98926
localidad localidad NCFS000 1
objeto objeto NCMS000 0.996183
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
Concesión concesión NP00000 1
. . Fp 1

Solicitud solicitud NCFS000 0.668984
de de SP 0.999961
opinión opinión NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Medios unidad_de_medios NP00000 1
y y CC 0.999989
Contenidos_Audiovisuales contenidos_audiovisuales NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
número número NCMS000 1
IFT/223/UCS/1464/2016 IFT/223/UCS/1464/2016 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
7_de_septiembre_de_2016 [??:7/9/2016:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
UCS ucs NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Medios unidad_de_medios NP00000 1
y y CC 0.999989
Contenidos_Audiovisuales contenidos_audiovisuales NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
la el DA0FS0 0.98926
“ “ Fra 1
UMCA umca NP00000 1
” ” Frc 1
) ) Fpt 1
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refería referir VMII3S0 0.65
la el DA0FS0 0.98926
fracción fracción NCFS000 1
I_de_el_Artículo i_de_el_artículo NP00000 1
34 34 Z 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
vigente vigente AQ0CS00 1
antes_de antes_de SP 1
la el DA0FS0 0.98926
modificación modificación NCFS000 1
de de SP 1
el el DA0MS0 1
17_de_octubre_de_2016 [??:17/10/2016:??.??:??] W 1
. . Fp 1

Primera 1 AO0FS00 0.969659
opinión opinión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
UMCA umca NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/224/UMCA/801/2016 IFT/224/UMCA/801/2016 Z 1
notificado notificar VMP00SM 1
el el DA0MS0 1
30_de_septiembre_de_2016 [??:30/9/2016:??.??:??] W 1
la el DA0FS0 0.98926
UMCA umca NP00000 1
, , Fc 1
emitió emitir VMIS3S0 1
opinión opinión NCFS000 1
parcialmente parcialmente RG 1
desfavorable desfavorable AQ0CS00 1
para para SP 0.999834
la el DA0FS0 0.98926
Solicitud solicitud NP00000 1
de de SP 0.999961
mérito mérito NCMS000 1
. . Fp 1

Alcance alcance NCMS000 0.716129
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Concesión solicitud_de_concesión NP00000 1
. . Fp 1

Con con SP 1
oficio oficio NCMS000 0.986111
602.1/27808 602.1/27808 Z 1
, , Fc 1
presentado presentar VMP00SM 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
el el DA0MS0 1
